,first_name,last_name,college,position,match count
1236,Sam,Bogdan,Jacksonville State,3,6
1238,Sam,Brinkmann,Missouri State,3,6
1240,Sam,Gott,FAU,4,1
1242,Sam,Manley,Cal Poly SLO,2,29
1243,Samantha,Drechsel,Washington,5,16
1244,Samantha,Harris,Stetson,3,26
1247,Samantha,Plaster,ASU,5,24
1248,Sami,Slaughter,Nebraska,3,14
1249,Sammee,Thomas,Stetson,1,17
1251,Sammy,Slater,USC,2,32
1253,Sara,Boothe,Coastal Carolina,5,4
1254,Sara,Kovac,LMU,2,28
1259,Sara,Putt,Florida State,3,22
1264,Sara,Watanabe,Arizona,5,2
1265,Sarah,Chase,Saint Mary's,3,27
1266,Sarah,Davis,"Cal State University, Sacramento",1,11
1269,Sarah,Demmer,Missouri State,4,9
1270,Sarah,Falk,"Cal State University, Sacramento",4,8
1271,Sarah,Garrow,Cal State Bakersfield,2,21
1274,Sarah,Kelly,UNC Wilmington,3,12
1277,Sarah,Savoca,Portland,3,11
1278,Sarah,Sponcil,UCLA,2,39
1279,Sarah,Stewart,Mercer,5,1
1280,Sasha,Karelov,Long Beach State,1,16
1283,Savannah,Siegrist,Jacksonville,1,8
1288,Savannah,Slattery,LMU,1,31
1289,Savvy,Simo,UCLA,3,27
1292,Selina,Marolf,Texas A&M Corpus Christi,1,14
1294,Shannon,Levinson,USF,5,15
1296,Shannon,Richardson,Stanford,5,11
1297,Shannon,Williams,South Carolina,1,26
1299,Shawnee,De Oliveira,Cal State Northridge,5,2
1300,Shayla,Schmidt,Jacksonville State,3,16
1304,Shaylee,Befus,Jacksonville,4,9
1306,Shayne,Mcpherson,Washington,3,26
1309,Shelby,Babowicz,Jacksonville,4,9
1311,Shelby,Holmes,Central Arkansas,5,11
1313,Shelby,Ladewig,Coastal Carolina,3,4
1316,Sienna,Young,Saint Mary's,5,13
1317,Sierra,Ellett,ASU,2,2
1318,Sjea,Anderson,Cal Poly SLO,5,1
1320,Skye,Southwick,Boise State,5,8
1321,Skylar,Caputo,Pepperdine,4,31
1322,Skylar,Wine,Pacific,1,15
1327,Skyler,Takeda,"Cal State University, Sacramento",4,13
1328,Snowy,Burnam,FGCU,4,20
1329,Sofia,Resendiz,Abilene Christian,5,8
1330,Sophie,Peel,Mercer,1,17
1335,Stephanie,Pollnow,Central Arkansas,3,6
1339,Stephany,Purdue,Arizona,3,10
1342,Summer,Avery,San Jose State University,5,11
1344,Sunniva,Helland-Hansen,Stetson,2,17
1345,Sunny,Villapando,Stanford,1,20
1347,Sydney,Haynes,Cal State Bakersfield,1,23
1348,Sydney,Palmer,ASU,2,13
1350,Sydney,Wicks,Cal State Bakersfield,5,7
1352,Taija,Thomas,FIU,5,16
1353,Tani,Stephens,Portland,1,11
1355,Tanner,Gauthier,Coastal Carolina,3,7
1357,Tarin,Mergener,Tulane,2,23
1359,Taryn,Griffey,UNF,2,18
1362,Tatiana,San Juan,Santa Clara,4,10
1364,Tatum,Ballard,LSU,4,2
1365,Tawnee,Luafalemana,Utah,2,16
1367,Taylor,Agost,Oregon,2,10
1368,Taylor,Bradley,LSU,3,1
1370,Taylor,Foley,College of Charleston,5,22
1371,Taylor,Fricano,Missouri State,1,10
1373,Taylor,Jarzombek,Grand Canyon,3,9
1375,Taylor,Meyer,ULM,4,9
1378,Taylor,Nelson,Cal Poly SLO,3,23
1380,Taylor,Odom,Santa Clara,1,6
1382,Taylor,Odom,Santa Clara,3,6
1386,Taylor,Poncetta,Pacific,5,11
1387,Teegan,Van Gunst,Georgia State,1,35
1389,Terese,Cannon,USC,2,27
1392,Tessie,Powers,Santa Clara,3,12
1394,Thaliana,Grajeda,San Jose State University,4,8
1396,Tia,Miric,Cal Poly SLO,1,30
1398,Tiffany,Creamer,Georgia State,2,22
1399,Tina,Graudina,USC,1,33
1400,Tori,Hinojosa,Houston Baptist,2,27
1401,Tori,Reiser,Jacksonville,5,9
1402,Torrey,Van Winden,Cal Poly SLO,1,30
1405,Tressa,Buckland,UAB,4,11
1407,Trish,Koutsoukos,USF,5,3
1408,Vanessa,Freire,Florida State,1,23
1411,Veronica,Corcoran,New Orleans,2,13
1413,Veronica,Nederend,LMU,3,16
1415,Veronica,Snelling,Missouri State,1,10
1417,Victoria,Corcoran,New Orleans,2,13
1418,Victoria,Paranagua,Florida State,1,27
1423,Willow,Johnson,Oregon,3,10
1425,Yasmin,Tan,New Mexico,3,12
1427,Zana,Muno,UCLA,3,20
1431,Zoi,Konstantopoulou,Long Beach State,4,22
