,first_name,last_name,college,position,match count
294,Chandler,Clark,Morehead State,2,1
295,Chaney,Howard,UNF,2,18
297,Chanti,Holroyd,UCLA,5,3
298,Charis,Ludtke,Jacksonville State,1,6
300,Chesney,McClellan,Nebraska,4,12
303,Chloe,Crappell,New Mexico,3,10
304,Chloe,Luyties,Hawaii,3,2
305,Chloe,Newton,Washington,5,3
307,Chloe,Reinig,LMU,4,11
309,Chloe,Simon,Texas A&M Corpus Christi,4,10
311,Chloe,Stitt,Austin Peay State,5,16
312,Christina,Mcafee,Tulane,5,4
314,Cianna,Andrews,"Cal State University, Sacramento",5,4
315,Ciara,Reistad,San Jose State University,2,18
317,Cierra,Flood,ASU,4,25
319,Cierra,Simpson,LMU,5,14
320,Claire,Coppola,LSU,1,38
321,Claire,Darland,Austin Peay State,2,4
323,Claire,Doyle,TCU,4,9
326,Claire,Newlander,Long Beach State,4,4
328,Colene,Hamilton,Central Arkansas,4,9
331,Corinne,Quiggle,Pepperdine,2,16
334,Courtney,Bowen,Stanford,3,13
336,Courtney,Miller,UNF,1,22
337,Courtney,Mullinax,UNC Wilmington,5,28
338,Courtney,Schwan,Washington,2,25
339,Courtney,VanLiew,FGCU,5,4
342,Cristina,Finan,Jacksonville,4,7
343,Dani,Barton,Utah,1,16
345,Daniella,Molinari,Cal State Northridge,4,14
348,Danielle,McCarson,Morehead State,5,2
349,Danielle,Wheeler,Houston Baptist,4,13
351,Darby,Dunn,Stetson,1,17
354,Deahna,Kraft,Pepperdine,2,16
357,Delaney,Driver,Central Arkansas,4,9
359,Demi,McInnis,Texas A&M Corpus Christi,3,11
361,Desiree,Sukhov,Cal State Bakersfield,2,21
362,Destiny,Julye,Washington,2,26
363,Devon,May,UAB,1,20
366,Devon,Rachel,College of Charleston,2,22
367,Dora,Beilin,Cal Poly SLO,5,2
368,Dora,Lulic,Coastal Carolina,1,10
370,Dorina,Klinger,FIU,2,14
373,Drew,Hanneman,Boise State,5,1
375,Eastyn,Baleto,New Mexico,2,12
379,Eden,Hawes,Georgia State,5,18
380,Eighmy,Dobbins,Abilene Christian,1,5
381,Eighmy,Dobbins,Abilene Christian,3,5
384,Elise,Zappia,UCLA,4,26
387,Elli,Gibson,Mercer,2,13
389,Elli,Merchant,Mercer,4,13
391,Ellyson,Lundberg,ASU,3,25
393,Emilee,Wissmach,Mercer,5,9
394,Emily,Baptista,Pacific,4,11
397,Emily,Bible,Saint Mary's,2,21
398,Emily,Hansen,Cal State Bakersfield,1,23
400,Emily,Hardesty,LSU,5,5
402,Emily,Lopes,Cal State Bakersfield,3,11
403,Emily,Lopes,Cal State Bakersfield,4,11
404,Emily,Maglio,Hawaii,1,29
406,Emily,Martinez,UAB,3,16
410,Emily,Nenninger,New Mexico,5,6
412,Emily,Reinking,Grand Canyon,5,13
414,Emily,Sonny,Cal Poly SLO,2,30
417,Emma,Calle,Washington,5,7
418,Emma,Doud,LMU,3,15
421,Emma,Kirst,Long Beach State,5,2
424,Emmy,Allen,LSU,4,25
425,Erica,Brok,FAU,3,15
428,Erica,Ronda,USF,3,7
430,Erika,Zembyla,FIU,2,15
432,Erin,Bognar,UAB,2,9
436,Erin,Byrne,FIU,5,5
438,Erin,Indermill,Cal State Northridge,4,14
440,Erin,Martin,New Mexico,1,17
443,Erin,Reineking,Santa Clara,5,11
445,Estefanie,Bethancourt,FIU,4,19
448,Eva,Torruella,Florida State,5,17
449,Federica,Frasca,FIU,1,29
450,Fernanda,Vido,San Jose State University,1,1
451,Forfeit,1,Jacksonville,5,1
452,Forfeit,1,Santa Clara,5,1
453,Forfeit,2,Jacksonville,5,1
454,Forfeit,2,Santa Clara,5,1
456,Frances,Giedraitis,ASU,2,12
459,Francesca,Goncalves,Florida State,5,18
460,Franky,Harrison,South Carolina,5,17
462,Gabbi,Moreno,UAB,3,9
465,Gabby,Love,ULM,1,20
466,Gabriella,Becerra,Tulane,4,19
468,Gabriella,Johnston,Texas A&M Corpus Christi,5,2
470,Gabrielle,Dischler,FAU,2,18
471,Georgia,Johnson,Georgia State,3,28
473,Gigi,Hernandez,Pepperdine,3,31
475,Gina,Tillis,LSU,5,11
476,Ginny,Gerig,Austin Peay State,1,17
478,Giovanna,Borgiotti,FGCU,3,17
479,Grace,Campbell,Cal,5,31
480,Grace,Convey,ULM,1,18
483,Grace,Jarnagin,Jacksonville State,4,19
487,Gracie,Garanich,Mercer,3,13
488,Gretchen,Reinert,Santa Clara,2,13
491,Hailey,Devlin,Arizona,3,10
492,Hailey,Devlin,Arizona,4,10
495,Hailey,Harward,Long Beach State,3,19
497,Hailey,Hughes,Jacksonville State,3,16
500,Hailey,Lindberg,Santa Clara,1,8
503,Hailey,Luke,Florida State,2,17
506,Haleigh,Nelson,LSU,2,34
510,Haley,Hallgren,USC,3,20
514,Haley,Howell,USF,2,11
515,Haley,Jared,UAB,2,11
519,Haley,Turner,Austin Peay State,3,10
520,Halle,Hunt,UNC Wilmington,2,22
522,Halle,Parker,ASU,2,2
524,Hannah,Edelman,South Carolina,5,10
527,Hannah,Hubbard,Cal Poly SLO,5,16
528,Hannah,Kirk,Jacksonville State,2,23
529,Hannah,Manzanares,Cal State Bakersfield,5,4
531,Hannah,Marchand,Jacksonville,5,9
533,Hannah,Matt,Long Beach State,5,28
534,Hannah,Meadows,"Cal State University, Sacramento",3,13
538,Hannah,Rogers,TCU,4,21
540,Hannah,Sorensen,South Carolina,5,1
541,Hannah,Towne,Grand Canyon,1,15
544,Hannah,Zalopany,Hawaii,5,39
547,Hanne,De Schrijver,Pacific,4,10
549,Haven,Hill,TCU,1,24
552,Hayley,Densberger,Nebraska,4,12
555,Hayley,Sturgeon,San Jose State University,3,8
557,Hayley,Tippett,Central Arkansas,1,14
560,Haylie,Beck,Coastal Carolina,5,4
562,Heather,Pembroke,Cal Poly SLO,5,30
563,Heidi,Dyer,Pepperdine,3,31
564,Helene,Thelle,FIU,3,1
565,Hi'ilawe,Huddleston,Hawaii,5,8
567,Holland,Ponthieux,ULM,5,19
569,Hunter,Domanski,LSU,3,19
571,Ivy,Reynolds,Missouri State,5,10
573,Iya,Lindahl,Cal,2,26
575,Izzy,Carey,UCLA,5,31
576,JM,Lewandowski,UNC Wilmington,2,26
578,Jacey,Smith,Abilene Christian,1,8
581,Jaelyn,Greene,TCU,2,17
584,Jaime,Thomas,UNC Wilmington,5,20
585,Jamie,Hirai,San Jose State University,3,7
587,Jamie,Hirai,San Jose State University,5,7
588,Jamie,McQuarrie,UCLA,5,1
589,Jamie,Stivers,Cal Poly SLO,4,1
590,Jamie,Stivers,Cal Poly SLO,5,1
592,Jamie,Walsh,Grand Canyon,5,18
593,Janell,Walley,Boise State,1,12
595,Jasmine,Schmidt,Nebraska,5,12
597,Jaymee-Lee,Bulda,Boise State,3,6
600,Jazz,Sweat,Nebraska,3,13
602,Jenna,Belton,USC,4,25
605,Jenna,Krenek,Texas A&M Corpus Christi,5,10
606,Jenna,Panning,Austin Peay State,2,10
608,Jennifer,Laird,Saint Mary's,5,13
609,Jensen,Allen,Boise State,3,7
613,Jensyn,Bledsoe,TCU,3,19
617,Jess,Vastine,South Carolina,5,16
619,Jessalyn,Kinlaw,FAU,2,18
623,Jessica,Clark,Grand Canyon,5,12
625,Jessica,Gaffney,Cal,2,20
626,Jessica,Hall,Morehead State,2,2
629,Jessica,Johnson,Mercer,2,13
631,Jessica,Manley,Cal Poly SLO,2,1
633,Jessica,Martinez,Central Arkansas,2,8
635,Jessica,Stansfield,Grand Canyon,2,14
637,Jessica,Wooten,Houston Baptist,1,27
639,Jessie,Prichard,LMU,2,26
642,Jessie,Wachtman,Morehead State,1,3
644,Jillian,Bergeson,TCU,2,17
647,Jo,Kremer,USC,4,18
650,Jonny,Baham,Arizona,4,14
652,Jordan,Anderson,Washington,1,26
653,Jordan,Ferrari,Pepperdine,5,8
654,Jordan,Jones,Morehead State,4,2
656,Jordan,Schumacher,New Orleans,3,9
660,Jordan,Terral,TCU,5,3
662,Jordan,Westendorf,TCU,5,24
663,Jordyn,Miller,Houston Baptist,4,3
664,Jordyn,Miller,Houston Baptist,5,3
