,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
1985,1,Brook Bauer,Madalyn Roh,Kristen Nuss,Claire Coppola,LSU,Pepperdine,1189,20180318
1986,2,Corinne Quiggle,Deahna Kraft,Olivia Powers,Hunter Domanski,Pepperdine,LSU,1189,20180318
1987,3,Heidi Dyer,Gigi Hernandez,Megan Davenport,Emmy Allen,LSU,Pepperdine,1189,20180318
1988,4,Skylar Caputo,Alexis Filippone,Haleigh Nelson,Maddie Ligon,Pepperdine,LSU,1189,20180318
1989,5,Maddie Dilfer,Nikki Lyons,Gina Tillis,Riley Young,Pepperdine,LSU,1189,20180318
1990,1,Whitney Walker,Gabby Atchley,Cara Sander,Rachel Kuhn,Texas A&M; Kingsville,New Orleans,1190,20180318
1991,2,Madison Brabham,Macy Berg,Veronica Corcoran,Victoria Corcoran,Texas A&M; Kingsville,New Orleans,1190,20180318
1992,3,Tenley Housler,Erin Umbel,Madison Miller,Maxine Walsh,Texas A&M; Kingsville,New Orleans,1190,20180318
1993,4,Haley Hutchinson ,Kyra Henderson ,Jordan Schumacher,Kaitlyn Grice,Texas A&M; Kingsville,New Orleans,1190,20180318
1994,5,Madeleine  Sims,Malee Sowa,Ally Carr,Rhyan  Rand,New Orleans,Texas A&M; Kingsville,1190,20180318
1995,1,Madalyn Roh,Brook Bauer,Annika Van Gunst,Teegan Van Gunst,Georgia State,Pepperdine,1191,20180318
1996,2,Corinne Quiggle,Deahna Kraft,Brooke Weiner,Tiffany Creamer,Pepperdine,Georgia State,1191,20180318
1997,3,Gigi Hernandez,Heidi Dyer,Olivia Stasevich,Georgia Johnson,Pepperdine,Georgia State,1191,20180318
1998,4,Alexis Filippone,Skylar Caputo,Kate Novack,Amie  Held,Pepperdine,Georgia State,1191,20180318
1999,5,Nikki Lyons,Maddie Dilfer,Ashley McGinn,Eden Hawes,Pepperdine,Georgia State,1191,20180318
2000,1,Shannon Williams,Ali Denney,Kristen Nuss,Claire Coppola,LSU,South Carolina,1192,20180318
2001,2,Cadie Bates,Katie Smith,Hunter Domanski,Olivia Powers,South Carolina,LSU,1192,20180318
2002,3,Julia Mannisto,Carly Schneider,Megan Davenport,Emmy Allen,South Carolina,LSU,1192,20180318
2003,4,Macie Tendrich,Leah Perri,Maddie Ligon,Haleigh Nelson,South Carolina,LSU,1192,20180318
2004,5,Avery Davis,Jess Vastine,Gina Tillis,Riley Young,South Carolina,LSU,1192,20180318
2005,1,Rachel Kuhn,Cara Sander,Caitlyn Cox,Adriana Skipper,New Orleans,Ottawa,1193,20180318
2006,2,Veronica Corcoran,Victoria Corcoran,Liz Heit,Kenna Hall,New Orleans,Ottawa,1193,20180318
2007,3,Madison Miller,Maxine Walsh,Ayona Tharps,Heather Huesman,New Orleans,Ottawa,1193,20180318
2008,4,Jordan Schumacher,Kaitlyn Grice,Destiny Crowder,Makayla Aspegren,New Orleans,Ottawa,1193,20180318
2009,5,Ally Carr,Rhyan  Rand,Breanna Vail,Marissa Chalmers,New Orleans,Ottawa,1193,20180318
2010,1,Emily Maglio,Ka'iwi Schucht,Tina Graudina,Abril Bustamante,Hawaii,USC,1194,20180318
2011,2,Carly Kan,Laurel Weaver,Terese Cannon,Sammy Slater,USC,Hawaii,1194,20180318
2012,3,Lea Monkhouse,Morgan Martin,Joy Dennis,Haley Hallgren,Hawaii,USC,1194,20180318
2013,4,Amy Ozee,Ari Homayun,Jenna Belton,Jo Kremer,USC,Hawaii,1194,20180318
2014,5,Paige Dreeuws,Hannah Zalopany,Peri Green,Alexandra Poletto,Hawaii,USC,1194,20180318
