,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
4,5,Alexa Richardson,Katinka Krahn,Kali Boatwright,Jordan Duffy,Stetson,Eckerd ,799,20180223
9,5,Franky Harrison,Hannah Edelman,Amie  Held,Maddie Gordon,South Carolina,Georgia State,800,20180223
14,5,Molly McBain,Eva Torruella,Kaila Dorish,Ashlan  Cunningham,Florida State,FAU,801,20180223
19,5,Kate Novack,Amie  Held,Alexa Richardson,Katinka Krahn,Georgia State,Stetson,802,20180223
24,5,Molly McBain,Eva Torruella,Franky Harrison,Hannah Sorensen,Florida State,South Carolina,803,20180223
27,5,Ashlan  Cunningham,Kaila Dorish,Abigail O'Ferrell,Jordan Duffy,FAU,Eckerd ,804,20180223
36,5,Gina Tillis,Emily Hardesty,Brayden Gruenewald,Dora Beilin,LSU,Cal Poly SLO,816,20180223
41,5,Gina Tillis,Emily Hardesty,Jessica Clark,Katie Sarber,Grand Canyon,LSU,817,20180223
46,5,Macy Gordon,Heather Pembroke,Jordan Ferrari,Maddie Dilfer,Cal Poly SLO,Pepperdine,818,20180223
50,5,Eden Hawes,Ashley Bauchert,Stephanie Bogda,Kali Boatwright,Georgia State,Eckerd ,821,20180224
55,5,Franky Harrison,Hannah Edelman,Julie Varga,Lauren Durham,South Carolina,Stetson,823,20180224
60,5,Molly McBain,Madison Fitzpatrick,Amie  Held,Kate Novack,Florida State,Georgia State,824,20180224
65,5,Kaity Bailey,Katie Gavin,Emily Hardesty,Gina Tillis,Pepperdine,LSU,825,20180224
70,5,Emily Hardesty,Gina Tillis,Chesney McClellan,Hayley Densberger,LSU,Nebraska,826,20180224
74,5,Jordan Westendorf,Brooke Sassin,Madeleine  Sims,Kyra Henderson ,TCU,Texas A&M; Kingsville,827,20180224
79,5,Franky Harrison,Hannah Edelman,Ashlan  Cunningham,Kaila Dorish,South Carolina,FAU,828,20180224
84,5,Kaity Bailey,Katie Gavin,Jamie  Walsh,Emily Reinking,Grand Canyon,Pepperdine,829,20180224
89,5,Jordan Westendorf,Brooke Sassin,Meagan Carter,Kali Fluke,TCU,Houston Baptist,830,20180224
94,5,Molly McBain,Madison Fitzpatrick,Alexa Richardson,Julie Varga,Florida State,Stetson,831,20180224
99,5,Chanti Holroyd,Savvy Simo,Kat Anderson,Caitlin Keefe,UCLA,Stanford,832,20180224
103,5,Marissa Rogers,Nicole DeBolt,Kaxandra Naranjo,Laura Embry,UNF,Webber,833,20180224
107,5,Blaire Register,Carolyn Cain,Marisa Beisner,Nylah Demps,UNF,Tampa,834,20180224
112,5,Sienna Young,Madi Wilkerson,Mia Merino,Grace Campbell,Cal,Saint Mary's,835,20180224
117,5,Grace Campbell,Mia Merino,Katrin Gotterba,Alex Holt,Pacific,Cal,836,20180224
122,5,Paige Dreeuws,Hannah Zalopany,Kat Anderson,Caitlin Keefe,Hawaii,Stanford,837,20180224
127,5,Erin Byrne,Mariana De Paula Silva,McKenna Webster,Holland Ponthieux,FIU,ULM,838,20180224
132,5,Macy Gordon,Heather Pembroke,Allie Havers,Jasmine Schmidt,Cal Poly SLO,Nebraska,839,20180224
137,5,Maja Kaiser,Katrina Kernochan,Jessica Clark,Madi Relaz,Grand Canyon,USC,840,20180224
142,5,Meagan Carter,Kali Fluke,Holland Ponthieux,McKenna Webster,Houston Baptist,ULM,841,20180224
147,5,Kylie Keeling,Emilee Wissmach,Kaitlyn Carter,Addison Genard,Mercer,Huntingdon,842,20180224
152,5,Alexandra Poletto,Peri Green,Kate  Baldwin,Samantha Plaster,ASU,USC,843,20180224
157,5,Hannah Zalopany,Paige Dreeuws,Savvy Simo,Chanti Holroyd,Hawaii,UCLA,844,20180224
164,5,Makenna Martin,Caroline Cordes,Madison Peters,Hayden Boucher,Arizona,Benedictine,846,20180224
169,5,Summer Avery,Breann Robinson,Paris Cosley,Peyton Boutwell,San Jose State University,Abilene Christian,847,20180224
174,5,Breann Robinson,Summer Avery,Paris Cosley,Peyton Boutwell,San Jose State University,Abilene Christian,848,20180224
179,5,Madi Wilkerson,Sienna Young,Ashlyn Fleming,Kaitlyn Lines,Saint Mary's,Pacific,851,20180224
184,5,Mariana Dal Pozzo,Erin Byrne,Brooke Sassin,Jordan Westendorf,FIU,TCU,854,20180225
189,5,Makenna Martin,Caroline Cordes,Eighmy Dobbins,Kennedy Shelstead,Arizona,Abilene Christian,855,20180225
194,5,Summer Avery,Kaitlynn Zdroik,Hayden Boucher,Madison Peters,San Jose State University,Benedictine,856,20180225
199,5,Lainy Thomas,Cammie Dorn,Allie Havers,Jasmine Schmidt,USC,Nebraska,857,20180225
204,5,Samantha Plaster,Kate  Baldwin,Jasmine Schmidt,Allie Havers,ASU,Nebraska,858,20180225
209,5,Claire Doyle,Jordan Westendorf,Holland Ponthieux,Taylor  Meyer,TCU,ULM,859,20180225
214,5,Savvy Simo,Mac May,Kat Anderson,Caitlin Keefe,UCLA,Stanford,860,20180225
219,5,Alexandra Poletto,Maja Kaiser,Heather Pembroke,Macy Gordon,Cal Poly SLO,USC,861,20180225
224,5,Heather Pembroke,Macy Gordon,Kate  Baldwin,Samantha Plaster,Cal Poly SLO,ASU,862,20180225
229,5,Holland Ponthieux,Taylor  Meyer,Madeleine  Sims,Kyra Henderson ,ULM,Texas A&M; Kingsville,863,20180225
234,5,Erin Byrne,Mariana Dal Pozzo,Madeleine  Sims,Malee Sowa,FIU,Texas A&M; Kingsville,864,20180225
239,5,Makenna Martin,Caroline Cordes,Summer Avery,Kaitlynn Zdroik,Arizona,San Jose State University,865,20180225
243,5,Marissa Rogers,Nicole DeBolt,Hannah Kaszubowski,Abigail Weaver,UNF,Southeastern,866,20180225
248,5,Savvy Simo,Mac May,Hannah Zalopany,Paige Dreeuws,UCLA,Hawaii,868,20180225
253,5,Paige Dreeuws,Hannah Zalopany,Caitlin Keefe,Kat Anderson,Hawaii,Stanford,869,20180225
258,5,Macy Gordon,Heather Pembroke,Jessica Clark,Katie Sarber,Cal Poly SLO,Grand Canyon,870,20180223
263,5,Bozena Culo,Emma Doud,Sydney Wicks,Hannah Manzanares,LMU,Cal State Bakersfield,871,20180224
268,5,Bozena Culo,Emma Doud,Karli Burk,Bree Bolton,LMU,Vanguard,872,20180224
273,5,Hannah Manzanares,Sydney Wicks,Karli Burk,Bree Bolton,Cal State Bakersfield,Vanguard,873,20180224
278,5,Erin Byrne,Mariana Dal Pozzo,Kaila Dorish,Ashlan  Cunningham,FIU,FAU,875,20180227
283,5,Megan Muret,Izzy Carey,Nikki Lyons,Maddie Dilfer,UCLA,Pepperdine,876,20180228
288,5,Megan Muret,Izzy Carey,Maddie Dilfer,Nikki Lyons,UCLA,Pepperdine,877,20180228
293,5,Izzy Carey,Megan Muret,Maja Kaiser,Alexandra Poletto,UCLA,USC,878,20180228
298,5,Nikki Lyons,Kaity Bailey,Maja Kaiser,Alexandra Poletto,USC,Pepperdine,879,20180228
303,5,Nicolette  Pinkney,Lauren Conati,Karli Burk,Bree Bolton,Cal State Northridge,Vanguard,881,20180228
308,5,Grace Campbell,Maddie Micheletti,Erin Reineking,Michelle Gajdka,Cal,Santa Clara,882,20180301
313,5,Logan Manusky,Taylor Foley,Erin Byrne,Mariana Dal Pozzo,College of Charleston,FIU,885,20180302
318,5,Katinka Krahn,Quinci Birker,Logan Manusky,Taylor Foley,College of Charleston,Stetson,886,20180302
323,5,Jonny Baham,Caroline Cordes,Kayla Long,Abbey Wilson,Arizona,New Mexico,887,20180302
328,5,Chloe Newton,Kara Bajema,Bozena Culo,Emma Doud,LMU,Washington,888,20180302
333,5,Allie Havers,Jasmine Schmidt,Ivy Reynolds,Lynsey Wright,Nebraska,Missouri State,889,20180302
338,5,Bozena Culo,Emma Doud,Kayla Long,Abbey Wilson,LMU,New Mexico,890,20180302
343,5,Makenna Martin,Caroline Cordes,Emma Calle,Kara Bajema,Washington,Arizona,891,20180302
348,5,Sabrina Blackwell,Laura Leap,Michelle Gajdka,Erin Reineking,USF,Santa Clara,892,20180302
353,5,Laura Leap,Sabrina Blackwell,Michelle Gajdka,Erin Reineking,USF,Santa Clara,893,20180302
358,5,Caitlin Keefe,Kat Anderson,Kelsey Knudsen,Jennifer Laird,Stanford,Saint Mary's,894,20180302
