,Name,Year,Height,Hometown/HS,Team
4,Carleigh Semeniuk,Fr,5'9,"Whitby, Canada",Tulane
5,Christina  Mcafee,Sr,5'8,"Kennedale, Tx",Tulane
6,Gabriella Becerra,Fr,5'8,"Southlake, Tx",Tulane
7,Kaylie Mchugh,So,5'6,"Davie, Fl",Tulane
8,Kendyl Brennan,Fr,5'7,"Laguna Beach, Ca",Tulane
9,Lan Nguyen,Sr,5'9,"Manhattan Beach, Ca",Tulane
10,Lauren Orlich,Fr,6'0,"Scottsdale, Az",Tulane
11,Madeline Mertz,Sr,6'0,"Peoria, Az",Tulane
12,Morgan Esters,Fr,6'0,"Calabasas, Ca",Tulane
13,Rio Frohoff,Fr,5'9,"Redondo Beach, Ca",Tulane
14,Tarin Mergener,So,5'9,"Midlothian, Tx",Tulane
0,Amelia Smith,Fr,5'7,"San Jose, Ca",Stanford
1,Blake Sharp,Fr,5'11,"Orinda, Ca",Stanford
2,Caitlin Keefe,So,5'11,"Pacific Palisades, Ca",Stanford
3,Catherine Raquel,Sr,5'10,"Los Angeles, Ca",Stanford
4,Chelsea Red-Horse Mohl,So,5'10,"Huntington Beach, Ca",Stanford
5,Courtney Bowen,Jr,6'4,"Brooklyn, N.Y.",Stanford
6,Jennifer Disanto,Jr,5'5,"Portola Valley, Ca",Stanford
7,Kat Anderson,So,5'9,"Everett, Wa",Stanford
8,Kate Formico,Fr,5'9,"Saratoga, Ca",Stanford
9,Kathryn Plummer,So,6'6,"Aliso Viejo, Ca",Stanford
10,Morgan Hentz,So,5'9,"Lakeside Park, Ky",Stanford
11,Payton Chang,Jr,5'10,"Newport Beach, Ca",Stanford
12,Shannon Richardson,So,5'8,"Los Gatos, Ca",Stanford
13,Sunny Villapando,Fr,5'9,"Manhattan Beach, Ca",Stanford
0,Alexis  Patterson,Jr,6'0,"Glendale, Az",Long Beach State
1,Anete Brinke,Sr,6'2,"Riga, Latvia",Long Beach State
2,Ashley Anselmo,R-Fr,6'2,"Manhattan Beach, Ca",Long Beach State
3,Ashley Murray,Sr,6'2,"Torrance, Ca",Long Beach State
4,Brooke Earkman,So,5'7,"Santa Monica, Ca",Long Beach State
5,Claire Newlander,Fr,6'0,"Arroyo Grande, Ca",Long Beach State
6,Emma Kirst,Jr,6'4,"Las Vegas, Nv",Long Beach State
7,Fayth Rascon-Ryn,Fr,5'8,"Redondo Beach, Ca",Long Beach State
8,Gigi Alex,Jr,5'5,"Long Beach, Ca",Long Beach State
9,Gina Lipscomb,Fr,6'0,"Yorba Linda, Ca",Long Beach State
10,Hailey Harward,So,5'9,"Phoenix, Az",Long Beach State
11,Hannah Matt,Sr,5'10,"Bettendorf, Iowa",Long Beach State
12,Kjersti Norveel,So,6'2,"Tonsberg, Norway",Long Beach State
13,Kristyna Adamcikova,Fr,6'0,"Opava, Czech Republic",Long Beach State
14,Marisa Ramsey,Fr,5'7,"Laguna Niguel, Ca",Long Beach State
15,Mary Jo McBride,So,5'9,"Paradise Valley, Az",Long Beach State
16,Megan Kruidhof,Jr,6'0,"Lakewood, Ca",Long Beach State
17,Mina Andjelkovic,Fr,6'1,"Belgrade, Serbia",Long Beach State
18,Monika Simkova,Fr,6'1,"Malacky, Slovakia",Long Beach State
19,Nele Barber,Sr,6'0,"Berlin, Germany",Long Beach State
20,Nicci Reinking,Fr,5'10,"Fountain Valley, Ca",Long Beach State
21,Rachel Nieto,Sr,5'10,"Walnut Creek, Ca",Long Beach State
22,Radi Marinova,Fr,6'1,"Sofia, Bulgaria",Long Beach State
23,Ravena Bailey,Fr,5'6,"Escondido, Ca",Long Beach State
24,Sasha Karelov,Sr,5'9,"Raleigh,N.C",Long Beach State
25,Tegan Curren,Fr,5'10,"Paso Robles, Ca",Long Beach State
26,YiZhi Xue,So,6'4,"Nanjing, China",Long Beach State
27,Zoi Konstantopoulou,Jr,6'0,"Limassol, Cyprus",Long Beach State
0,Abby Waldburger,So,5'10,"La Jolla, Ca",Cal
1,Alexia Inman,Fr,6'1,"Manhattan Beach, Ca",Cal
2,Bridget Gustafson,So,,"Naperville, Ill",Cal
3,Bryce Bark,Sr,6'0,"Palos Verdes Estates, Ca",Cal
4,Camille  Stepanof,So,5'4,"San Diego, Ca",Cal
5,Caroline Schafer,Fr,6'0,"Orinda, Ca",Cal
6,Cassidy Drury-Pullen,Fr,5'7,"Santa Barbara, Ca",Cal
7,Grace Campbell,Jr,6'0,"Manhattan Beach, Ca",Cal
8,Iya Lindahl,So,5'8,"San Diego, Ca",Cal
9,Jacqueline Ribeiro,Fr,5'11,"Austin, Tx",Cal
10,Jayda Howard,So,6'0,"La Jolla, Ca",Cal
11,Jessica Gaffney,Sr,6'1,"Temecula, Ca",Cal
12,Karina Langli,Jr,5'10,"Encinitas, Ca",Cal
13,Mackenzie Feldman,Sr,5'6,"Honolulu, Hi",Cal
14,Maddie Micheletti,Fr,5'9,"Manhattan Beach, Ca",Cal
15,Madison Dueck,So,5'9,"Santa Cruz, Ca",Cal
16,Mia Merino,Jr,5'7,"Tustin, Ca",Cal
17,Mima Mirkovic,Fr,5'11,"Irvine, Ca",Cal
18,Olivia Rodberg,Jr,5'9,"Manhattan Beach, Ca",Cal
19,Teya Neff,Sr,6'0,"Novato, Ca",Cal
0,Adore Anae,Sr,6'1,"Laei, Hi",Utah
1,Alexa Van Komen,Fr,5'8,"El Dorado Hills, Ca",Utah
2,Bailey Choy,So,5'9,"Honolulu, Hi",Utah
3,Berkeley Oblad,Jr,6'4,"Henderson, Nv",Utah
4,Brianna Doehrmann,So,5'7,"Murrieta, Ca",Utah
5,Camryn  Machado,Fr,5'9,"Cardiff by the Sea, Ca",Utah
6,Carly Trueman,Sr,6'1,"Tucson, Az",Utah
7,Dani Barton,So,6'0,"Sandy, Ut",Utah
8,Eliza Katoa,Sr,5'10,"Layton, Ut",Utah
9,Emily Twohig,Jr,5'9,"Boise, Id",Utah
10,Kenzie Koerber,Fr,6'3,"Chino Hills, Ca",Utah
11,Laura Gauta,Fr,5'11,"Garden Grove, Ca",Utah
12,Lauren Sproule,So,6'0,"Lethbridge, Ca",Utah
13,Megan Boudreaux,Jr,6'2,"South Jordan, Ut",Utah
14,Melissa Powell,,,,Utah
15,Phoebe  Grace,Fr,6'2,"Laie, Hawai'i",Utah
16,Shannon  Scully,Fr,6'2,"Huntington Beach, Ca",Utah
17,Tawnee Luafalemana,Sr,6'0,"Carson, Ca",Utah
18,Torre Glasker,So,5'10,"South Jordan, Ut",Utah
0,Ashley Allmer,Jr,5'10,"Sarasota, Fl",LSU
1,Cheyenne Wood,Sr,5'7,"Angier, N.C.",LSU
2,Claire Coppola,So,6'1,"Scottsdale, Az",LSU
3,Emily Hardesty,GS,6'3,"Plano, Tx",LSU
4,Emmy Allen,GS,6'1,"Mill Creek, Wa",LSU
5,Gina Tillis,Sr,5'10,"Rockwall, Tx",LSU
6,Haleigh Nelson,GS,6'4,"Cary, N.C.",LSU
7,Hunter Domanski,Fr,5'10,"New Braunfels, Tx",LSU
8,Jeni Clark,Jr,5'7,"Carlsbad, Ca",LSU
9,Kahlee York,Fr,5'11,"Bradenton, Fl",LSU
10,Kristen Nuss,So,5'6,"New Orleans, La",LSU
11,Lilly Kessler,Jr,5'10,"Augusta, Ga",LSU
12,Maddie Ligon,Jr,5'8,"Bedford, Tx",LSU
13,Mandi Orellana,Sr,5'7,"Guatemala City, Guatemala",LSU
14,Megan Davenport,Jr,5'11,"Metairie, La",LSU
15,Nicole Decker,Fr,5'10,"Coral Springs, Fl",LSU
16,Olivia Powers,So,6'1,"Merrit Island, Fl",LSU
17,Riley Young,Sr,6'1,"La Jolla, Ca",LSU
18,Savannah Wininger,Fr,5'9,"Baton Rouge, La",LSU
19,Tatum Ballard,Fr,5'8,"Mandeville, La",LSU
20,Taylor Bradley,So,5'9,"Round Rock, Tx",LSU
0,AJ Baumann,Jr,5'7,"Roswell, Ga",South Carolina
1,Ali Denney,So,5'6,"Jupiter,Fl",South Carolina
2,Aubrey Ezell,R-So,5'8,"Granbury, Tx",South Carolina
3,Avery Davis,Fr,5'8,"New Burn, N.C.",South Carolina
4,Cadie Bates,GS,6'2,"Temecula, Ca",South Carolina
5,Carly Schneider,So,5'10,"Cincinnati, Oh",South Carolina
6,Caroline Skaff,So,5'11,"Haymarket, Va",South Carolina
7,Delaney Wood,Jr,6'0,"Westlake, Tx",South Carolina
8,Franky Harrison,So,5'10,"Knoxville, Tn",South Carolina
9,Hannah Sorensen,GS,6'0,"Wilmington, N.C.",South Carolina
10,Hannah Edelman,So,5'5,"Hilton Head Island, S.C.",South Carolina
11,Jess Vastine,Fr,6'1,"Wittman, Az",South Carolina
12,Julia Mannisto,Sr,5'11,"Westlake Village, Ca",South Carolina
13,Katie Smith,So,5'9,"West Chester, Oh",South Carolina
14,Kennedy Copeland,Fr,5'10,"Newbury Park, Ca",South Carolina
15,Leah Perri,GS,6'0,"Richland, Mi",South Carolina
16,Louise Kooiman,Fr,5'9,"Fullerton, Ca",South Carolina
17,Lydia Dimke,GS,6'3,"Ham Lake, Mn",South Carolina
18,Macie Tendrich,Sr,5'3,"Boynton Beach, Fl",South Carolina
19,Quinn Fulton,Fr,5'8,"Calabasas, Ca",South Carolina
20,Sarah Nacouzi,So,5'10,"Raleigh, N.C.",South Carolina
21,Shannon Williams,Jr,5'10,"Ashburn, Va",South Carolina
0,Brooke Burling,So,5'10,"Naperville, Ill",Arizona
1,Candice Denny,Fr,6'2,"Saratoga, Ca",Arizona
2,Caroline Cordes,R-Fr,5'11,"Naperville, Ill",Arizona
3,Chelsey Harris,Sr,6'0,"Houston, Tx",Arizona
4,Hailey Devlin,Sr,6'2,"San Diego, Ca",Arizona
5,Jaclyn Inclan,Fr,5'10,"Tucson, Az",Arizona
6,Jonny Baham,Fr,5'6,"Carlsbad, Ca",Arizona
7,Jordan Abalos,R-Jr,5'10,"Safford, Az",Arizona
8,Kacey Nady,R-Sr,6'2,"San Diego, Ca",Arizona
9,Makenna Martin,R-Fr,5'9,"Gilbert, Az",Arizona
10,Mia Mason,Jr,5'11,"Manhattan Beach, Ca",Arizona
11,Natalie Anselmo,So,5'6,"Los Angeles, Ca",Arizona
12,Olivia Hallaran,So,5'9,"Mesa, Az",Arizona
13,Olivia Macdonald,Sr,6'0,"Piopio, New Zeland",Arizona
14,Sara Watanabe,R-So,5'9,"Honolulu, Hi",Arizona
15,Stephany Purdue,Sr,5'11,"Mesa, Az",Arizona
0,Bailey Anderson,Fr,,"Las Vegas, Nv",ASU
1,Cassidy Schilling,Fr,,"Moorpark, Ca",ASU
2,Cierra Flood,Fr,,"Phoenix, Az",ASU
3,Ellyson Lundberg,So,5'11,"Larkspur, Ca",ASU
4,Frances Giedraitis,Sr,5'9,"Tucson, Az",ASU
5,Halle Parker,Fr,,"Bakersfield, Ca",ASU
6,Jourdan Parnell,Jr,5'8,"San Diego, Ca",ASU
7,Kara  Woodard,So,5'11,"Phoenix, Az",ASU
8,Kate  Baldwin,Fr,,"Lakewood, Ca",ASU
9,Katelyn Carballo,So,5'9,"Laguna Beach, Ca",ASU
10,Katie Cross,Jr,5'11,"Flagstaff, Az",ASU
11,Kwyn Johnson,R-Sr,6'3,"Kalispell, Mont",ASU
12,Mia Rivera,Sr,5'8,"Gilbert, Az",ASU
13,Natalie Braun,Jr,5'7,"Phoenix, Az",ASU
14,Samantha Plaster,Fr,,"Flower Mound, Tx",ASU
15,Sierra Ellett,Fr,,"Scottsdale, Az",ASU
16,Sydney Palmer,Sr,5'7,"Yorba Linda, Ca",ASU
0,Anna Unnasch,So,5'9,"San Diego, Ca",Grand Canyon
1,Bella Baumann,Fr,5'11,"Wheaton, Il",Grand Canyon
2,Emily Reinking,Sr,5'7,"Huntington Beach, Ca",Grand Canyon
3,Hannah Towne,So,5'11,"Rochester, Ind",Grand Canyon
4,Jamie  Walsh,Jr,6'0,"Shell Beach, Ca",Grand Canyon
5,Jessica Clark,So,5'7,"Monroe, Wa",Grand Canyon
6,Jessica Stansfield,So,5'6,"Wall, N.J.",Grand Canyon
7,Jordyn Sanchez,R-Sr,5'9,"Huntington Beach, Ca",Grand Canyon
8,Katie Sarber,Fr,5'9,"Dade City, Fl",Grand Canyon
9,Katie Pyles,GS,5'9,"Littleton, Co",Grand Canyon
10,Kelli Iverson,Sr,5'11,"San Marcos, Ca",Grand Canyon
11,Kiersten Varga,Fr,5'9,"Bradenton, Fl",Grand Canyon
12,Madi Relaz,Fr,5'10,"Redondo Beach, Ca",Grand Canyon
13,Maggie Demore,Jr,5'7,"Phoenix, Az",Grand Canyon
14,Micaela Mirabal,So,5'9,"Austin, Tx",Grand Canyon
15,Michaela Reese,So,6'0,"Lancaster, Ca",Grand Canyon
16,Molly Turner,Sr,5'8,"Naperville, Ill",Grand Canyon
17,Natalie Honzovicova,Fr,5'10,"Prague, Czech Republic",Grand Canyon
18,Olivia Unnasch,So,5'9,"San Diego, Ca",Grand Canyon
19,Renee Mussler,Fr,5'8,"Clearwater, Fl",Grand Canyon
20,Taylor Jarzombek,Fr,5'4,"Austin, Tx",Grand Canyon
21,Teagan DeFalco,Fr,,"Long Beach, Ca",Grand Canyon
0,Alex Hojnar,Sr,5'9,"Western Springs, Ill",Oregon
1,August Raskie,Jr,6'0,"Colorado Springs, Co",Oregon
2,Brooke Van Sickle,So,5'9,"Battle Ground, Wa",Oregon
3,Jolie Rasmussen,So,6'2,"Encinitas, Ca",Oregon
4,Josie Cole,Fr,5'10,"Lafayette, Ca",Oregon
5,Kyra Hanawahine,Fr,5'2,"Honolulu, Hi",Oregon
6,Lauren  Page,Jr,6'0,"Riverside, Ca",Oregon
7,Lindsey Vander Weide,Jr,6'3,"Turlock, Ca",Oregon
8,Maggie Scott,Sr,5'10,"Wildwood, Mo",Oregon
9,Marine Hall-Poirier,Sr,5'11,"Portola Valley, Ca",Oregon
10,Ronika Stone,So,6'2,"San Jose, Ca",Oregon
11,Sumeet Gill,Jr,6'3,"Elk Grove, Ca",Oregon
12,Taylor Agost,Sr,6'2,"Happy Valley, Ore",Oregon
13,Willow Johnson,So,6'2,"Paradise Valley, Az",Oregon
0,Anna Crabtree,Sr,5'9,"Bellevue, Wa",Washington
1,Avie Niece,So,6'0,"Bellevue, Wa",Washington
2,Cailin Onosko,R-Fr,5'6,"San Diego, Ca",Washington
3,Carly Dehoog,Sr,6'4,"Ontario, Ca",Washington
4,Chloe Newton,Fr,,,Washington
5,Courtney Schwan,Sr,6'1,"Auburn, Wash",Washington
6,Crissy Jones,Sr,6'2,"Los Alamitos, Ca",Washington
7,Destiny Julye,Jr,5'11,"Tehachapi, Ca",Washington
8,Emma Calle,Fr,5'11,"Villa Park, Ca",Washington
9,Jordan Anderson,Sr,6-0,"Flower Mound, Texas",Washington
10,Kara Bajema,R-Fr,6'2,"Lynden, Wa",Washington
11,Kimmy Gardiner,Sr,6'1,"Grapevine, Tx",Washington
12,Lauren Sanders,Fr,6'4,"Snohomish, Wa",Washington
13,Maria Bogomolova,R-Fr,6'1,"St Petersburg, Russia",Washington
14,Natalie Anderson,Fr,5'11,"Mercer Island, Wa",Washington
15,Natalie Robinson,Fr,5'11,"Mercer Island, Wa",Washington
16,Samantha  Drechsel,Fr,"6'4""","Bothell, WA/ Maryland",Washington
17,Shayne Mcpherson,So,5'6,"Seattle, Wash",Washington
18,Tia Scambray,Sr,6'0,"Dana Point, Ca",Washington
0,Alex O'Sullivan,Jr,5'10,"Albany, Ca",Saint Mary's
1,Alexsa Parker,So,5'8,"Santa Clara, Utah",Saint Mary's
2,Aubrey Pitts,So,6'2,"Reno, Nv",Saint Mary's
3,Emily Bible,Jr,5'9,"Santa Clarita, Ca",Saint Mary's
4,Jennifer Laird,Fr,5'11,"San Luis Obispo, Ca",Saint Mary's
5,Kelsey Knudsen,Fr,,"Santa Clarita, Ca",Saint Mary's
6,Lindsey Calvin,Jr,6'2,"Visalia, Ca",Saint Mary's
7,Lindsey Knudsen,Jr,6'0,"Santa Clarita, Ca",Saint Mary's
8,Madi Wilkerson,Sr,5'5,"Midlothian, Tx",Saint Mary's
9,Madison Baumann,Fr,6'0,"San Carlos, Ca",Saint Mary's
10,Mary Hernandez,Sr,5'7,"Long Beach, Ca",Saint Mary's
11,Morgan Kendrick,,,,Saint Mary's
12,Morgan Hughes,Jr,5'10,"Willows, Ca",Saint Mary's
13,Payton Rund,Jr,6'1,"Albany, Ore",Saint Mary's
14,Sarah Chase,R-So,6'0,"Campbell River, B.C.",Saint Mary's
15,Sienna Young,So,5'11,"Elk Grove, Ca",Saint Mary's
0,Allison Kantor,So,6'0,"Mission Viejo, Ca",Santa Clara
1,Anna McCreadie,R-So,6'3,"North Bend, Wa",Santa Clara
2,Brittany Gillingham,Fr,5'5,"San Jose, Ca",Santa Clara
3,Chloe Loreen,Fr,6'0,"Seattle, Wa",Santa Clara
4,Erin Reineking,Sr,5'8,"Salinas, Ca",Santa Clara
5,Forfeit 2,,,,Santa Clara
6,Forfeit  1,,,,Santa Clara
7,Gretchen Reinert,Fr,5'6,"Dove Canyon, Ca",Santa Clara
8,Hailey Lindberg,Jr,6'1,"Danville, Ca",Santa Clara
9,Kathryn Decker,Fr,6'3,"Portland, Or",Santa Clara
10,Kristen Mead,Sr,5'11,"Palo Alto, Ca",Santa Clara
11,Laura Willems,So,6'0,"Parker, Colo",Santa Clara
12,Michelle Gajdka,So,5'8,"San Francisco, Ca",Santa Clara
13,Ngozi Nwabuzoh,So,5'10,"Stockton, Ca",Santa Clara
14,Tatiana San Juan,Sr,5'7,"Emerald Hills, Ca",Santa Clara
15,Taylor  Odom,R-So,6'2,"Bellevue, Wa",Santa Clara
16,Tessie Powers,So,5'10,"Aptos, Ca",Santa Clara
0,Alexis Filippone,Fr,6'2,"Del Mar, Ca",Pepperdine
1,Anika Wilson,Jr,5'9,"Santa Barbara, Ca",Pepperdine
2,Brook Bauer,Fr,6'1,"Fort Lauderdale, Fl",Pepperdine
3,Corinne Quiggle,Sr,5'10,"Ponte Vedra Beach, Fl",Pepperdine
4,Deahna Kraft,So,6'0,"Seattle, Wa",Pepperdine
5,Gigi Hernandez,So,5'10,"Dana Point, Ca",Pepperdine
6,Heidi Dyer,Jr,6'2,"San Clemente, Ca",Pepperdine
7,Jordan Ferrari,So,6'1,"Mission Viejo, Ca",Pepperdine
8,Kaity Bailey,Jr,6'2,"Ojai, Ca",Pepperdine
9,Katie Gavin,Fr,5'8,"Laguna Beach, Ca",Pepperdine
10,Madalyn Roh,Jr,5'11,"Scottsdale, Az",Pepperdine
11,Maddie Dilfer,Sr,5'11,"Saratoga, Ca",Pepperdine
12,Nikki Lyons,Jr,6'2,"Fort Lauderdale, Fl",Pepperdine
13,Shannon Murphy,Fr,6'1,"Friendswood, Tx",Pepperdine
14,Skylar Caputo,Jr,5'10,"Manhattan Beach, Ca",Pepperdine
0,Aeryn Owens,Jr,6'0,"Alta Loma, Ca",Cal State Northridge
1,Autumn  Russell,Sr,5'11,"Paso Robles, Ca",Cal State Northridge
2,Cassidy Rosso,So,6'0,"La Crescenta, Ca",Cal State Northridge
3,Daniella Molinari,So,6'2,"Pompano Beach, Fl",Cal State Northridge
4,Erin Indermill,Jr,5'6,"Santa Clarita, Ca",Cal State Northridge
5,Katie Sato,Sr,5'6,"Calabasas, Ca",Cal State Northridge
6,Kristey Markle,Jr,5'9,"Trabuco Canyon, Ca",Cal State Northridge
7,Lauren McMurray,Fr,5'10,"Phoenix, Az",Cal State Northridge
8,Lauren Conati,Sr,6'1,"Scottsdale, Az",Cal State Northridge
9,Nickeisha Williams,Sr,5'10,"Harbor City, Ca",Cal State Northridge
10,Nicolette  Pinkney,Sr,5'11,"Roseville, Ca",Cal State Northridge
11,Shawnee De Oliveira,Fr,5'7,"Trabuco Canyon, Ca",Cal State Northridge
12,Tori Hiott,Jr,5'9,"Thousand Oaks, Ca",Cal State Northridge
0,Allie Havers,Sr,6'5,"Mattawan, Mi",Nebraska
1,Anezka Szabo,Fr,6'3,"Sioux Falls, S.D.",Nebraska
2,Annika Albrecht,Sr,6'0,"North Aurora, Ill",Nebraska
3,Chesney McClellan,Fr,6'4,"Maryville, Tn",Nebraska
4,Hayley Densberger,Fr,5'9,"Malcolm, Ne",Nebraska
5,Jasmine Schmidt,Fr,6'1,"Parker, Co",Nebraska
6,Jazz Sweat,Fr,6'3,"Tecumseh, Kan",Nebraska
7,Kashauna Williams,Fr,6'1,"Lancaster, Ca",Nebraska
8,Kelly Hunter,Sr,5'11,"Papillion, Neb",Nebraska
9,Kenzie Maloney,Jr,5'8,"Louisville, Ky",Nebraska
10,Lauren Stivrins,So,6'4,"Scottsdale, Az",Nebraska
11,Mikaela  Foecke,Jr,6'3,"West Point, Ia",Nebraska
12,Sami Slaughter,Fr,6'1,"Harrisburg, S.D.",Nebraska
0,Alexis  Morrow,R-Fr,5'10,"Redwood City, Ca",LMU
1,Bozena Culo,So,6'2,"Bjelovar, Croatia",LMU
2,Chloe Reinig,GS,6'4,"Howell, Mi",LMU
3,Cierra Simpson,GS,6'0,"Colorado Springs, Co",LMU
4,Emma Johnson,So,6'0,"Moraga, Ca",LMU
5,Emma Doud,So,5'9,"Alameda, Ca",LMU
6,Jessie Prichard,So,5'9,"Corona, Ca",LMU
7,Kekai Whitford,Jr,5'8,"Costa Mesa, Ca",LMU
8,Kristen Castellanos,Sr,5'1,"Los Angeles, Ca",LMU
9,Maddie  Leiphardt,GS,5'9,"Goleta, Ca",LMU
10,McKayla Ferris,GS,6'0,"Geneseo, N.Y.",LMU
11,Megan  Rice,So,6'0,"Hermosa Beach, Ca",LMU
12,Meredith Teague,Fr,6'2,"Monroe, Wa",LMU
13,Morgan Bogust,Fr,5'9,"Thousand Oaks, Ca",LMU
14,Paige Panter,So,5'10,"Dallas, Tx",LMU
15,Sara Kovac,Jr,6'0,"Niagra Falls, Ontario, Can",LMU
16,Savannah  Slattery,So,5'11,"Malibu, Ca",LMU
17,Sierra  Bartley,Fr,6'2,"Littleton, Co",LMU
18,Veronica Nederend,Jr,5'11,"Tipton, Ca",LMU
0,Brindl Langley,R-Sr,5'7,"Camas,Wa",Boise State
1,Cassedi Simon,So,5'4,"West Liberty, Iowa",Boise State
2,Cat Clemens,Fr,6'0,"Burns, Or",Boise State
