,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
1,2,Darby Dunn,Sammee Thomas,Paula Hoffman,Kaitlyn Sibson,Stetson,Eckerd ,799,20180223
6,2,Lydia Dimke,Katie Smith,Ashley McGinn,Allie Elson,South Carolina,Georgia State,800,20180223
11,2,Brooke Kuhlman,Vanessa Freire,Carly Scarborough,Brittany Pellitteri,Florida State,FAU,801,20180223
16,2,Ashley McGinn,Allie Elson,Sammee Thomas,Darby Dunn,Stetson,Georgia State,802,20180223
21,2,Vanessa Freire,Brooke Kuhlman,Carly Schneider,Katie Smith,South Carolina,Florida State,803,20180223
29,2,Kelly Hunter,Annika Albrecht,Caitlan Sammons,Sydney Nelson,Nebraska,Benedictine,805,20180223
33,2,Mandi Orellana,Haleigh Nelson,Sam Manley,Emily Sonny,Cal Poly SLO,LSU,816,20180223
38,2,Haleigh Nelson,Hunter Domanski,Hannah Towne,Jessica Stansfield,Grand Canyon,LSU,817,20180223
43,2,Sam Manley,Emily Sonny,Corinne Quiggle,Deahna Kraft,Cal Poly SLO,Pepperdine,818,20180223
48,2,Annika Van Gunst,Brooke Weiner,Madison  Whiting,Arielle Erillo,Georgia State,Eckerd ,821,20180224
52,2,Carly Schneider,Katie Smith,Darby Dunn,Sammee Thomas,Stetson,South Carolina,823,20180224
57,2,Vanessa Freire,Brooke Kuhlman,Annika Van Gunst,Brooke Weiner,Florida State,Georgia State,824,20180224
62,2,Brook Bauer,Madalyn Roh,Haleigh Nelson,Hunter Domanski,Pepperdine,LSU,825,20180224
67,2,Haleigh Nelson,Hunter Domanski,Jazz Sweat,Kenzie Maloney,LSU,Nebraska,826,20180224
72,2,Jaelyn Greene,Jillian Bergeson,Madison Brabham,Macy Berg,TCU,Texas A&M; Kingsville,827,20180224
76,2,Carly Schneider,Katie Smith,Carly Scarborough,Brittany Pellitteri,South Carolina,FAU,828,20180224
81,2,Brook Bauer,Madalyn Roh,Hannah Towne,Jessica Stansfield,Pepperdine,Grand Canyon,829,20180224
86,2,Jaelyn Greene,Jillian Bergeson,Kayla Armer,Tori Hinojosa,Houston Baptist,TCU,830,20180224
91,2,Vanessa Freire,Brooke Kuhlman,Carly Perales,Sunniva Helland-Hansen,Stetson,Florida State,831,20180224
96,2,Sarah Sponcil ,Lily Justine,Morgan Hentz,Amelia Smith,UCLA,Stanford,832,20180224
100,2,Brittany Pase,Courtney Miller,Hannah Tannone,Amber Lake,UNF,Webber,833,20180224
105,2,Courtney Miller,Brittany Pase,Nicole Dominguez,Katie McKiel,UNF,Tampa,834,20180224
109,2,Lindsey Knudsen,Emily Bible,Bryce Bark,Madison Dueck,Saint Mary's,Cal,835,20180224
114,2,Bryce Bark,Madison Dueck,Roni Long,Skylar Wine,Cal,Pacific,836,20180224
119,2,Ka'iwi Schucht,Emily Maglio,Morgan Hentz,Amelia Smith,Hawaii,Stanford,837,20180224
124,2,Anabela Sataric,Dorina Klinger,Grace Convey,Kayla Gallant,FIU,ULM,838,20180224
129,2,Sam Manley,Emily Sonny,Kelly Hunter,Annika Albrecht,Cal Poly SLO,Nebraska,839,20180224
134,2,Haley Hallgren,Sammy Slater,Jessica Stansfield,Hannah Towne,USC,Grand Canyon,840,20180224
139,2,Kayla Armer,Tori Hinojosa,Grace Convey,Kayla Gallant,Houston Baptist,ULM,841,20180224
144,2,Elli Gibson,Jessica Johnson,Bria Rochelle,Alexis Creasman,Mercer,Huntingdon,842,20180224
149,2,Haley Hallgren,Sammy Slater,Halle Parker,Kara  Woodard,USC,ASU,843,20180224
154,2,Emily Maglio,Ka'iwi Schucht,Lily Justine,Sarah Sponcil ,Hawaii,UCLA,844,20180224
159,2,Caitlan Sammons,Sydney Nelson,Brooke Riley,Lauren Walker,Abilene Christian,Benedictine,845,20180224
161,2,Olivia Hallaran,Kacey Nady,Caitlan Sammons,Sydney Nelson,Arizona,Benedictine,846,20180224
166,2,Ciara Reistad,Julia Golbeck,Brooke Riley,Lauren Walker,San Jose State University,Abilene Christian,847,20180224
171,2,Ciara Reistad,Julia Golbeck,Lauren Walker,Brooke Riley,San Jose State University,Abilene Christian,848,20180224
176,2,Morgan Hughes,Payton Rund,Taylor Poncetta,Hanne De Schrijver,Saint Mary's,Pacific,851,20180224
181,2,Anabela Sataric,Dorina Klinger,Hannah Rogers,Molly Scheel,FIU,TCU,854,20180225
186,2,Kacey Nady,Olivia Hallaran,Brooke Riley,Lauren Walker,Arizona,Abilene Christian,855,20180225
191,2,Ciara Reistad,Julia Golbeck,Caitlan Sammons,Sydney Nelson,San Jose State University,Benedictine,856,20180225
196,2,Sammy Slater,Haley Hallgren,Kenzie Maloney,Annika Albrecht,USC,Nebraska,857,20180225
201,2,Sydney Palmer,Kara  Woodard,Kenzie Maloney,Annika Albrecht,Nebraska,ASU,858,20180225
206,2,Molly Scheel,Hannah Rogers,Maile Sellers,Kayla Gallant,TCU,ULM,859,20180225
211,2,Lily Justine,Sarah Sponcil ,Amelia Smith,Morgan Hentz,UCLA,Stanford,860,20180225
216,2,Haley Hallgren,Sammy Slater,Sam Manley,Emily Sonny,Cal Poly SLO,USC,861,20180225
221,2,Emily Sonny,Sam Manley,Natalie Braun,Frances Giedraitis,Cal Poly SLO,ASU,862,20180225
226,2,Kayla Gallant,Maile Sellers,Macy Berg,Madison Brabham,ULM,Texas A&M; Kingsville,863,20180225
231,2,Anabela Sataric,Dorina Klinger,Madison Brabham,Macy Berg,FIU,Texas A&M; Kingsville,864,20180225
236,2,Kacey Nady,Olivia Hallaran,Ciara Reistad,Julia Golbeck,Arizona,San Jose State University,865,20180225
240,2,Courtney Miller,Brittany Pase,Keniah Rivera Santiago,Kelsey Morton,UNF,Southeastern,866,20180225
245,2,Sarah Sponcil ,Lily Justine,Ka'iwi Schucht,Emily Maglio,Hawaii,UCLA,868,20180225
250,2,Ka'iwi Schucht,Emily Maglio,Amelia Smith,Morgan Hentz,Hawaii,Stanford,869,20180225
255,2,Emily Sonny,Sam Manley,Hannah Towne,Jessica Stansfield,Cal Poly SLO,Grand Canyon,870,20180223
260,2,Veronica Nederend,Maddie  Leiphardt ,Mattison Degarmo,Emily Lopes,LMU,Cal State Bakersfield,871,20180224
265,2,Veronica Nederend,Maddie  Leiphardt ,Kelli Dowell,Hannah Holder,LMU,Vanguard,872,20180224
270,2,Emily Lopes,Mattison Degarmo,Hannah Holder,Kelli Dowell,Cal State Bakersfield,Vanguard,873,20180224
275,2,Anabela Sataric,Dorina Klinger,Carly Scarborough,Brittany Pellitteri,FAU,FIU,875,20180227
280,2,Sarah Sponcil ,Lily Justine,Madalyn Roh,Brook Bauer,UCLA,Pepperdine,876,20180228
285,2,Lily Justine,Sarah Sponcil ,Brook Bauer,Madalyn Roh,UCLA,Pepperdine,877,20180228
290,2,Lily Justine,Sarah Sponcil ,Joy Dennis,Brianna Sizemore,UCLA,USC,878,20180228
295,2,Corinne Quiggle,Deahna Kraft,Brianna Sizemore,Joy Dennis,Pepperdine,USC,879,20180228
300,2,Kristey Markle,Nickeisha Williams,Hannah Holder,Kelli Dowell,Cal State Northridge,Vanguard,881,20180228
305,2,Mima Mirkovic,Alexia Inman,Hailey Lindberg,Gretchen Reinert,Cal,Santa Clara,882,20180301
310,2,Mckala Rhodes,Devon Rachel,Anabela Sataric,Dorina Klinger,College of Charleston,FIU,885,20180302
315,2,Darby Dunn,Sammee Thomas,Mckala Rhodes,Devon Rachel,Stetson,College of Charleston,886,20180302
320,2,Kacey Nady,Olivia Hallaran,Yasmin Tan,Chloe Crappell,Arizona,New Mexico,887,20180302
325,2,Destiny Julye,Courtney Schwan,Veronica Nederend,Maddie  Leiphardt ,Washington,LMU,888,20180302
330,2,Annika Albrecht,Kenzie Maloney,Aubrey Cheffey,Julia Hanson,Nebraska,Missouri State,889,20180302
335,2,Veronica Nederend,Maddie  Leiphardt ,Yasmin Tan,Chloe Crappell,LMU,New Mexico,890,20180302
340,2,Kacey Nady,Olivia Hallaran,Destiny Julye,Courtney Schwan,Washington,Arizona,891,20180302
345,2,Julia Topor,Anna Dalla Vecchia,Hailey Lindberg,Gretchen Reinert,USF,Santa Clara,892,20180302
350,2,Julia Topor,Anna Dalla Vecchia,Gretchen Reinert,Hailey Lindberg,USF,Santa Clara,893,20180302
355,2,Morgan Hentz,Amelia Smith,Emily Bible,Lindsey Knudsen,Stanford,Saint Mary's,894,20180302
360,2,Roni Long,Taylor Poncetta,Sarah Davis,Mikaela Nocetti,Pacific,"Cal State University, Sacramento",895,20180302
365,2,Amelia Smith,Morgan Hentz,Anna Dalla Vecchia,Julia Topor,Stanford,USF,896,20180302
370,2,Roni Long,Taylor Poncetta,Hailey Lindberg,Gretchen Reinert,Pacific,Santa Clara,897,20180302
375,2,Payton Rund,Morgan Hughes,Sarah Davis,Mikaela Nocetti,Saint Mary's,"Cal State University, Sacramento",898,20180302
380,2,Mima Mirkovic,Alexia Inman,Ciara Reistad,Julia Golbeck,Cal,San Jose State University,902,20180302
