,Name,Year,Height,Hometown/HS,Team,mu,sigma
66,Ka'iwi Schucht,Sr,5'9,"Escondido, Ca",Hawaii,36.4918952768,2.84585248807
67,Laurel Weaver,Sr,5'11,"Winnetka, Ca",Hawaii,36.3706214394,2.40540580739
68,Lea Monkhouse,Fr,6'0,"Mississauga, Canada",Hawaii,36.3440918166,3.02246692434
69,Morgan Martin,So,6'1,"Mission Viejo, Ca",Hawaii,36.5596639585,3.00247142119
70,Paige Dreeuws,Fr,5'7,"San Marcos, Ca",Hawaii,35.2841782018,2.89249455423
71,Pani Napoleon,Fr,5'7,"Chula Vista, Ca",Hawaii,25.0,8.33333333333
72,Presley Forbes,Fr,5'4,"Manhattan Beach, Ca",Hawaii,25.0,8.33333333333
73,Regan Hurkett,So,6'2,"Sedona, Ca",Hawaii,25.0,8.33333333333
74,Sydney Kidd,So,5'8,"San Diego, Ca",Hawaii,25.0,8.33333333333
75,Addison Hermstad,Fr,5'11,"Seal Beach, Ca",Tulane,34.0780133515,2.76682120571
76,Anna Chin,Jr,5'7,"Irvine, Ca",Tulane,25.7853147671,2.43099199921
77,Ashley Delgado,Fr,5'7,"Novato, Ca",Tulane,28.7378228411,2.59053115249
78,Briana Correa,Jr,5'10,"Fort Myers, Fl",Tulane,18.9023148722,4.96422024244
79,Carleigh Semeniuk,Fr,5'9,"Whitby, Canada",Tulane,25.0,8.33333333333
80,Christina  Mcafee,Sr,5'8,"Kennedale, Tx",Tulane,27.7867005241,5.67603863636
81,Gabriella Becerra,Fr,5'8,"Southlake, Tx",Tulane,25.0383599442,2.65982751938
82,Kaylie Mchugh,So,5'6,"Davie, Fl",Tulane,34.2828629757,2.73158286838
83,Kendyl Brennan,Fr,5'7,"Laguna Beach, Ca",Tulane,23.9758804552,6.94503623439
84,Lan Nguyen,Sr,5'9,"Manhattan Beach, Ca",Tulane,28.6259703412,2.3551589276
85,Lauren Orlich,Fr,6'0,"Scottsdale, Az",Tulane,28.0943994387,2.42386378578
86,Madeline Mertz,Sr,6'0,"Peoria, Az",Tulane,34.2828629757,2.73158286838
87,Morgan Esters,Fr,6'0,"Calabasas, Ca",Tulane,21.7313462119,7.1334232742
88,Rio Frohoff,Fr,5'9,"Redondo Beach, Ca",Tulane,26.8187325355,2.59793718621
89,Tarin Mergener,So,5'9,"Midlothian, Tx",Tulane,28.6002710516,2.37003357885
90,Amelia Smith,Fr,5'7,"San Jose, Ca",Stanford,29.8733640345,3.01089800692
91,Blake Sharp,Fr,5'11,"Orinda, Ca",Stanford,26.6214453358,3.94626228456
92,Caitlin Keefe,So,5'11,"Pacific Palisades, Ca",Stanford,28.0230585554,2.91118489416
93,Catherine Raquel,Sr,5'10,"Los Angeles, Ca",Stanford,27.0070527708,2.79991736307
94,Chelsea Red-Horse Mohl,So,5'10,"Huntington Beach, Ca",Stanford,25.0,8.33333333333
95,Courtney Bowen,Jr,6'4,"Brooklyn, N.Y.",Stanford,33.6684043826,3.02141977436
96,Jennifer Disanto,Jr,5'5,"Portola Valley, Ca",Stanford,25.0,8.33333333333
97,Kat Anderson,So,5'9,"Everett, Wa",Stanford,22.8112014917,3.85674885357
98,Kate Formico,Fr,5'9,"Saratoga, Ca",Stanford,32.3736281476,2.77452059823
99,Kathryn Plummer,So,6'6,"Aliso Viejo, Ca",Stanford,31.467162573,4.12476140229
100,Morgan Hentz,So,5'9,"Lakeside Park, Ky",Stanford,29.8733640345,3.01089800692
101,Payton Chang,Jr,5'10,"Newport Beach, Ca",Stanford,27.1324237186,2.99808232778
102,Shannon Richardson,So,5'8,"Los Gatos, Ca",Stanford,24.2973768338,4.14827456777
103,Sunny Villapando,Fr,5'9,"Manhattan Beach, Ca",Stanford,36.3268940935,3.0873682944
104,Alexis  Patterson,Jr,6'0,"Glendale, Az",Long Beach State,31.2895800558,6.60897797501
105,Anete Brinke,Sr,6'2,"Riga, Latvia",Long Beach State,26.0877140791,4.28767750421
106,Ashley Anselmo,R-Fr,6'2,"Manhattan Beach, Ca",Long Beach State,25.0,8.33333333333
107,Ashley Murray,Sr,6'2,"Torrance, Ca",Long Beach State,25.0,8.33333333333
108,Brooke Earkman,So,5'7,"Santa Monica, Ca",Long Beach State,25.0,8.33333333333
109,Claire Newlander,Fr,6'0,"Arroyo Grande, Ca",Long Beach State,31.215852659,5.6102497421
110,Emma Kirst,Jr,6'4,"Las Vegas, Nv",Long Beach State,29.5603588881,7.05018947469
111,Fayth Rascon-Ryn,Fr,5'8,"Redondo Beach, Ca",Long Beach State,25.0,8.33333333333
112,Gigi Alex,Jr,5'5,"Long Beach, Ca",Long Beach State,25.0,8.33333333333
113,Gina Lipscomb,Fr,6'0,"Yorba Linda, Ca",Long Beach State,25.0,8.33333333333
114,Hailey Harward,So,5'9,"Phoenix, Az",Long Beach State,33.300823376,3.37113307429
115,Hannah Matt,Sr,5'10,"Bettendorf, Iowa",Long Beach State,32.7939231778,3.20647923256
116,Kjersti Norveel,So,6'2,"Tonsberg, Norway",Long Beach State,25.0,8.33333333333
117,Kristyna Adamcikova,Fr,6'0,"Opava, Czech Republic",Long Beach State,32.2857865696,3.3961762133
118,Marisa Ramsey,Fr,5'7,"Laguna Niguel, Ca",Long Beach State,33.8645484447,3.17545309895
119,Mary Jo McBride,So,5'9,"Paradise Valley, Az",Long Beach State,25.0,8.33333333333
120,Megan Kruidhof,Jr,6'0,"Lakewood, Ca",Long Beach State,32.662515955,3.40162745955
121,Mina Andjelkovic,Fr,6'1,"Belgrade, Serbia",Long Beach State,25.0,8.33333333333
122,Monika Simkova,Fr,6'1,"Malacky, Slovakia",Long Beach State,25.0,8.33333333333
123,Nele Barber,Sr,6'0,"Berlin, Germany",Long Beach State,33.1255538265,2.76284154481
124,Nicci Reinking,Fr,5'10,"Fountain Valley, Ca",Long Beach State,32.8412722107,3.15654737127
125,Rachel Nieto,Sr,5'10,"Walnut Creek, Ca",Long Beach State,32.5516176849,2.87328148326
126,Radi Marinova,Fr,6'1,"Sofia, Bulgaria",Long Beach State,25.0,8.33333333333
127,Ravena Bailey,Fr,5'6,"Escondido, Ca",Long Beach State,25.0,8.33333333333
128,Sasha Karelov,Sr,5'9,"Raleigh,N.C",Long Beach State,36.5229216332,3.02044552722
129,Tegan Curren,Fr,5'10,"Paso Robles, Ca",Long Beach State,25.0,8.33333333333
130,YiZhi Xue,So,6'4,"Nanjing, China",Long Beach State,25.0,8.33333333333
131,Zoi Konstantopoulou,Jr,6'0,"Limassol, Cyprus",Long Beach State,31.8767903232,3.14610590334
132,Abby Waldburger,So,5'10,"La Jolla, Ca",Cal,26.3301372378,7.83821930773
133,Alexia Inman,Fr,6'1,"Manhattan Beach, Ca",Cal,30.823437776,2.88521979792
134,Bridget Gustafson,So,,"Naperville, Ill",Cal,25.0,8.33333333333
135,Bryce Bark,Sr,6'0,"Palos Verdes Estates, Ca",Cal,27.8295998834,2.68075607116
136,Camille  Stepanof,So,5'4,"San Diego, Ca",Cal,25.0,8.33333333333
137,Caroline Schafer,Fr,6'0,"Orinda, Ca",Cal,30.8357427289,2.87878295832
138,Cassidy Drury-Pullen,Fr,5'7,"Santa Barbara, Ca",Cal,25.0,8.33333333333
139,Grace Campbell,Jr,6'0,"Manhattan Beach, Ca",Cal,34.0094237964,3.3835439957
140,Iya Lindahl,So,5'8,"San Diego, Ca",Cal,29.4915922176,2.77779771497
141,Jacqueline Ribeiro,Fr,5'11,"Austin, Tx",Cal,25.0,8.33333333333
142,Jayda Howard,So,6'0,"La Jolla, Ca",Cal,25.0,8.33333333333
