,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
789,5,Hailey Luke,Eva Torruella,Anabela Sataric,Estefanie  Bethancourt,Florida State,FIU,789,20170423
790,1,Avery Keathley,Kersti Whitney,Kayla Tinker,Gabby Morrison,Concordia,Vanguard,790,20180215
790,2,Vanessa Bernzen,Tristan Self,Kelli Dowell,Hannah Holder,Concordia,Vanguard,790,20180215
790,3,Marcela Frazzoni,Kyra Auten,Dani Erdelatz,Charity Dennis,Concordia,Vanguard,790,20180215
790,4,Asia O'Neil,Jessica Diederich,Karly Cantu,Eliana Johnson,Concordia,Vanguard,790,20180215
790,5,Riley Gill,Kekela Hendrickson,Karli Burk,Bree Bolton,Concordia,Vanguard,790,20180215
791,1,Jewel Yandall,Sophia Loiola,Kacey Mathieson,Jadelyn Forgiarini,Orange Coast College,El Camino College,791,20180216
791,2,Sarah  Dyer,Jaylin Motley,Sierra Lim,Hannah Del Barto,Orange Coast College,El Camino College,791,20180216
791,3,Aiko Waters,Phina Leilua,Rylee Adair,Devyn Holland,El Camino College,Orange Coast College,791,20180216
791,4,Glorious Owens,Jossie Tomita,Hannah Reid,Molly Thee,El Camino College,Orange Coast College,791,20180216
791,5,Kiana Takahashi,Melissa Euyoque,Enjelica Glatti,Georgia Grisham,El Camino College,Orange Coast College,791,20180216
792,1,Sierra Davis,Josannah Vazquez,Milla Anderson,Sarah Connell,Long Beach City College,San Diego Mesa College,792,20180216
792,2,Brooklyn Mize,Jessica Kaeka,Melissa Pittelkau,Alina Snyder,Long Beach City College,San Diego Mesa College,792,20180216
792,3,Isabella Alvarez,Doris Woods,Jhenalyn Germono,Robyn Brooks,Long Beach City College,San Diego Mesa College,792,20180216
792,4,Mariah Clausen,Elsa Woods,Lizette Moore-Teague,Kylie Cassicippo,San Diego Mesa College,Long Beach City College,792,20180216
792,5,Jordan Diaz,Jasmine Palacios,Sabrina Calcutt,Tiarah Tucker,Long Beach City College,San Diego Mesa College,792,20180216
793,1,Sophia Loiola,Jewel Yandall,Khamis Berneker,Toso Leae,El Camino College,Cypress College,793,20180216
793,2,Sarah  Dyer,Jaylin Motley,Penina Wilder,Jane Woodward,Cypress College,El Camino College,793,20180216
793,3,Aiko Waters,Phina Leilua,Marina Pilkington,Jessika Tellez,El Camino College,Cypress College,793,20180216
793,4,Glorious Owens,Jossie Tomita,Kayla Owens,Brianna Georgopoulos,Cypress College,El Camino College,793,20180216
793,5,Kiana Takahashi,Melissa Euyoque,Alicya Siler,Arianna Ugaitafa,El Camino College,Cypress College,793,20180216
794,1,Jewel Yandall,Sophia Loiola,Madison Anderson,Celin Macdonald,El Camino College,Mira Costa College,794,20180216
794,2,Sarah  Dyer,Jaylin Motley,Lana Salzar,Claire Kinder,El Camino College,Mira Costa College,794,20180216
794,3,Aiko Waters,Phina Leilua,Chloe Tripp,Michelle Mason,Mira Costa College,El Camino College,794,20180216
794,4,Glorious Owens,Jossie Tomita,Violeti Faleumu,Madison Merkow,Mira Costa College,El Camino College,794,20180216
794,5,Kiana Takahashi,Melissa Euyoque,Halie Hess,Jazleigh Ortiz,El Camino College,Mira Costa College,794,20180216
795,1,Jourdan Muro,Brooke Horack,Britany Tran,Mikelle Taylor,Bakersfield College,Santa Ana College,795,20180216
795,2,Alex Paris,Reece Stevenson,Iliana Mendoza,Karissa Mumford,Bakersfield College,Santa Ana College,795,20180216
795,3,Rachel Hoover,Haley Sanchez,Kayla Long,Kassandra Murillo,Bakersfield College,Santa Ana College,795,20180216
795,4,Caitlyn Foreman,Sarah Armendariz,Destinee Blue,Hannah Degrasse,Bakersfield College,Santa Ana College,795,20180216
795,5,Shyanne Baez,Bianca Logsdon,Lily Reissmueller,Stephanie Huerta,Santa Ana College,Bakersfield College,795,20180216
