,division,college,first_name,last_name,mu,sigma
85,DI,USC,Abril,Bustamante,59.800488186867106,3.104487391604901
86,DI,USF,Nora,Buvarp Lavik,20.12388467543287,3.7866337704118016
87,DI,FIU,Erin,Byrne,29.466393592571773,6.386343965685898
88,DI,Coastal Carolina,Carla,Cahill,23.8844670158554,4.787275256949733
89,DI,UNF,Carolyn,Cain,28.5162296679387,4.254728953749262
90,DI,Washington,Emma,Calle,25.558384503587803,5.020639832530855
91,DI,Saint Mary's,Lindsey,Calvin,31.016887309235784,3.4158637675313246
92,DI,Cal,Grace,Campbell,35.46257707419202,3.417762844073747
93,DI,USC,Terese,Cannon,42.710327211733656,2.5403609298650376
94,DI,Pepperdine,Skylar,Caputo,39.23037388262837,3.4511322499994574
95,DI,ASU,Katelyn,Carballo,32.3846301572414,3.277906859791608
96,DI,UCLA,Izzy,Carey,37.91936772909428,2.7957513504696174
97,DI,New Orleans,Ally,Carr,19.267027880738958,4.352745734803946
98,DI,FGCU,Amanda,Carroll,36.052940356922186,3.8382267098243807
99,DI,Houston Baptist,Meagan,Carter,21.796667830719265,4.648784278891266
100,DI,LMU,Kristen,Castellanos,29.428375543137005,4.274852216575686
101,DI,Morehead State,Alyssa,Cecil,17.265857807302112,6.577343138241077
102,DI,Florida State,Alaina,Chacon,31.020286985339087,6.313137081598374
103,DI,Stanford,Payton,Chang,29.57091056329593,3.0317442151051477
104,DI,Saint Mary's,Sarah,Chase,31.64891414466915,3.1219438639572563
105,DI,Mercer,Marina,Chavez,27.529847912999497,3.6698798847113854
106,DI,Missouri State,Aubrey,Cheffey,18.310463716067446,6.513247850645945
107,DI,Tulane,Anna,Chin,31.53324040053407,2.5532561956300146
108,DI,Utah,Bailey,Choy,24.35775231921474,3.8681264532950514
109,DI,Morehead State,Chandler,Clark,29.997625329014696,7.494999514980421
110,DI,Grand Canyon,Jessica,Clark,31.277748281753897,3.2151811402807544
111,DI,USF,Pi'ikea,Clemens,15.473802488952247,4.934173853672239
112,DI,Jacksonville State,Ashley,Clingan,19.966742176380453,5.557202784827063
113,DI,Jacksonville State,Maddie,Cloutier,6.503653339337414,4.185375740527835
114,DI,Oregon,Josie,Cole,19.744986208694208,5.069447701834963
115,DI,Cal State Northridge,Lauren,Conati,25.418655047931818,4.256927765059624
116,DI,ULM,Grace,Convey,31.224097408805953,3.9947362345691233
117,DI,LSU,Claire,Coppola,53.14902311154546,2.8473022841075344
118,DI,New Orleans,Veronica,Corcoran,28.727101793413137,4.172720405330779
119,DI,New Orleans,Victoria,Corcoran,32.360461541497735,3.877490038852183
120,DI,Arizona,Caroline,Cordes,29.26642963990161,3.922916617859731
121,DI,Tulane,Briana,Correa,18.978598773552722,5.006747259241218
122,DI,Abilene Christian,Paris,Cosley,12.7409411371435,5.697873522192038
123,DI,Washington,Anna,Crabtree,33.4203399403603,3.222558332835334
124,DI,New Mexico,Chloe,Crappell,30.758947436727116,4.129277793821519
125,DI,Georgia State,Tiffany,Creamer,39.53625868867253,2.80754505162631
126,DI,ASU,Katie,Cross,27.129103926559047,3.1313523904072866
127,DI,LMU,Bozena,Culo,27.231185528357315,2.832504316180552
