division,compID,location,date,college,first_name,last_name,position,result,score
DI,800,"  Deland, FL  ",2018-02-23,South Carolina,Hannah,Edelman,5,1,"21-15, 21-19"
DI,800,"  Deland, FL  ",2018-02-23,South Carolina,Franky,Harrison,5,1,"21-15, 21-19"
DI,801," Deland, FL ",2018-02-23,FAU,Gabrielle,Dischler,1,0,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2018-02-23,FAU,Jessalyn,Kinlaw,1,0,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2018-02-23,Florida State,Macy,Jerger,1,1,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2018-02-23,Florida State,Victoria,Paranagua,1,1,"12-21, 21-17, 15-6"
DI,801," Deland, FL ",2018-02-23,FAU,Carly,Scarborough,2,0,"21-16, 23-21"
DI,801," Deland, FL ",2018-02-23,FAU,Brittany,Pellitteri,2,0,"21-16, 23-21"
DI,801," Deland, FL ",2018-02-23,Florida State,Vanessa,Freire,2,1,"21-16, 23-21"
DI,801," Deland, FL ",2018-02-23,Florida State,Brooke,Kuhlman,2,1,"21-16, 23-21"
DI,801," Deland, FL ",2018-02-23,FAU,Nicole,Grant,3,0,"21-16, 21-19"
DI,801," Deland, FL ",2018-02-23,FAU,Nicole,Navarro,3,0,"21-16, 21-19"
DI,801," Deland, FL ",2018-02-23,Florida State,Sara,Putt,3,1,"21-16, 21-19"
DI,801," Deland, FL ",2018-02-23,Florida State,Francesca,Goncalves,3,1,"21-16, 21-19"
DI,801," Deland, FL ",2018-02-23,FAU,Erica,Brok,4,0,"21-14, 21-18"
DI,801," Deland, FL ",2018-02-23,FAU,Mackenzie,Morris,4,0,"21-14, 21-18"
DI,801," Deland, FL ",2018-02-23,Florida State,Katie,Horton,4,1,"21-14, 21-18"
DI,801," Deland, FL ",2018-02-23,Florida State,Hailey,Luke,4,1,"21-14, 21-18"
DI,801," Deland, FL ",2018-02-23,FAU,Kaila,Dorish,5,0,"21-10, 21-17"
DI,801," Deland, FL ",2018-02-23,FAU,Ashlan ,Cunningham,5,0,"21-10, 21-17"
DI,801," Deland, FL ",2018-02-23,Florida State,Eva,Torruella,5,1,"21-10, 21-17"
DI,801," Deland, FL ",2018-02-23,Florida State,Molly,McBain,5,1,"21-10, 21-17"
DI,802," Deland, FL ",2018-02-23,Georgia State,Tiffany,Creamer,1,0,"16-21, 21-16, 19-17"
DI,802," Deland, FL ",2018-02-23,Georgia State,Brooke,Weiner,1,0,"16-21, 21-16, 19-17"
DI,802," Deland, FL ",2018-02-23,Stetson,Carly,Perales,1,1,"16-21, 21-16, 19-17"
DI,802," Deland, FL ",2018-02-23,Stetson,Sunniva,Helland-Hansen,1,1,"16-21, 21-16, 19-17"
DI,802," Deland, FL ",2018-02-23,Georgia State,Ashley,McGinn,2,0,"21-15, 21-16"
DI,802," Deland, FL ",2018-02-23,Georgia State,Allie,Elson,2,0,"21-15, 21-16"
DI,802," Deland, FL ",2018-02-23,Stetson,Sammee,Thomas,2,1,"21-15, 21-16"
DI,802," Deland, FL ",2018-02-23,Stetson,Darby,Dunn,2,1,"21-15, 21-16"
DI,802," Deland, FL ",2018-02-23,Georgia State,Olivia,Stasevich,3,1,"23-25, 21-15, 15-11"
DI,802," Deland, FL ",2018-02-23,Georgia State,Georgia,Johnson,3,1,"23-25, 21-15, 15-11"
DI,802," Deland, FL ",2018-02-23,Stetson,Rebecca,Ingram,3,0,"23-25, 21-15, 15-11"
DI,802," Deland, FL ",2018-02-23,Stetson,Quinci,Birker,3,0,"23-25, 21-15, 15-11"
DI,802," Deland, FL ",2018-02-23,Georgia State,Eden,Hawes,4,1,"25-23, 9-21, 15-13"
DI,802," Deland, FL ",2018-02-23,Georgia State,Ashley,Bauchert,4,1,"25-23, 9-21, 15-13"
DI,802," Deland, FL ",2018-02-23,Stetson,Samantha,Harris,4,0,"25-23, 9-21, 15-13"
DI,802," Deland, FL ",2018-02-23,Stetson,Rachel,Noble,4,0,"25-23, 9-21, 15-13"
DI,802," Deland, FL ",2018-02-23,Georgia State,Kate,Novack,5,1,"21-17, 21-17"
DI,802," Deland, FL ",2018-02-23,Georgia State,Amie ,Held,5,1,"21-17, 21-17"
DI,802," Deland, FL ",2018-02-23,Stetson,Katinka,Krahn,5,0,"21-17, 21-17"
DI,802," Deland, FL ",2018-02-23,Stetson,Alexa,Richardson,5,0,"21-17, 21-17"
DI,803," Deland, FL ",2018-02-23,Florida State,Victoria,Paranagua,1,1,"21-14, 21-14"
DI,803," Deland, FL ",2018-02-23,Florida State,Macy,Jerger,1,1,"21-14, 21-14"
DI,803," Deland, FL ",2018-02-23,South Carolina,Ali,Denney,1,0,"21-14, 21-14"
DI,803," Deland, FL ",2018-02-23,South Carolina,Shannon,Williams,1,0,"21-14, 21-14"
DI,803," Deland, FL ",2018-02-23,Florida State,Brooke,Kuhlman,2,0,"24-26, 21-16, 15-10"
DI,803," Deland, FL ",2018-02-23,Florida State,Vanessa,Freire,2,0,"24-26, 21-16, 15-10"
DI,803," Deland, FL ",2018-02-23,South Carolina,Katie,Smith,2,1,"24-26, 21-16, 15-10"
DI,803," Deland, FL ",2018-02-23,South Carolina,Carly,Schneider,2,1,"24-26, 21-16, 15-10"
DI,803," Deland, FL ",2018-02-23,Florida State,Sara,Putt,3,1,"21-14, 21-15"
DI,803," Deland, FL ",2018-02-23,Florida State,Francesca,Goncalves,3,1,"21-14, 21-15"
DI,803," Deland, FL ",2018-02-23,South Carolina,Leah,Perri,3,0,"21-14, 21-15"
DI,803," Deland, FL ",2018-02-23,South Carolina,Macie,Tendrich,3,0,"21-14, 21-15"
DI,803," Deland, FL ",2018-02-23,Florida State,Hailey,Luke,4,1,"23-21, 21-11"
DI,803," Deland, FL ",2018-02-23,Florida State,Katie,Horton,4,1,"23-21, 21-11"
DI,803," Deland, FL ",2018-02-23,South Carolina,Julia,Mannisto,4,0,"23-21, 21-11"
DI,803," Deland, FL ",2018-02-23,South Carolina,Jess,Vastine,4,0,"23-21, 21-11"
DI,803," Deland, FL ",2018-02-23,Florida State,Molly,McBain,5,1,"21-16, 11-21, 15-12"
DI,803," Deland, FL ",2018-02-23,Florida State,Eva,Torruella,5,1,"21-16, 11-21, 15-12"
DI,803," Deland, FL ",2018-02-23,South Carolina,Hannah,Sorensen,5,0,"21-16, 11-21, 15-12"
DI,803," Deland, FL ",2018-02-23,South Carolina,Franky,Harrison,5,0,"21-16, 11-21, 15-12"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Mackenzie,Redner,1,0,"21-17, 21-15"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Savanna,Cary,1,0,"21-17, 21-15"
DI,804," Deland, Fl ",2018-02-23,FAU,Jessalyn,Kinlaw,1,1,"21-17, 21-15"
