,rank,name,college,division,rating,primary position,date
0,1,Abril Bustamante,USC,DI,121.02363313062074,1,2018-05-05
1,2,Megan McNamara,UCLA,DI,111.47575174607339,1,2018-05-06
2,3,Nicole McNamara,UCLA,DI,111.47575174607339,1,2018-05-06
3,4,Emily Maglio,Hawaii,DI,110.39157369592559,1,2018-05-06
4,5,Ka'iwi Schucht,Hawaii,DI,110.39157369592559,1,2018-05-06
5,6,Tina Graudina,USC,DI,109.19717772579308,1,2018-05-05
6,7,Victoria Paranagua,Florida State,DI,109.00391613884828,1,2018-05-05
7,8,Claire Coppola,LSU,DI,105.81065521506092,1,2018-05-04
8,9,Kristen Nuss,LSU,DI,105.81065521506092,1,2018-05-04
9,10,Vanessa Freire,Florida State,DI,102.69582826601903,1,2018-05-05
10,11,Nele Barber,Long Beach State,DI,101.43493667467979,1,2018-04-28
11,12,Sasha Karelov,Long Beach State,DI,100.97835629532503,1,2018-04-28
12,13,Madeline Mertz,Tulane,DI,100.36740792064113,1,2018-04-21
13,14,Kaylie Mchugh,Tulane,DI,100.36740792064113,1,2018-04-21
14,15,Teegan Van Gunst,Georgia State,DI,97.95359617665675,1,2018-04-21
15,16,Katie Smith,South Carolina,DI,96.7701542227091,2,2018-05-04
16,17,Sunny Villapando,Stanford,DI,95.83676337886074,1,2018-04-27
17,18,Corinne Quiggle,Pepperdine,DI,94.66893725948114,2,2018-05-05
18,19,Deahna Kraft,Pepperdine,DI,94.66893725948114,2,2018-05-05
19,20,Federica Frasca,FIU,DI,94.40098638089853,1,2018-05-04
20,21,Margherita Bianchin,FIU,DI,94.40098638089853,1,2018-05-04
21,22,Mima Mirkovic,Cal,DI,94.33138248704145,1,2018-04-28
22,23,Annika Van Gunst,Georgia State,DI,93.68872165639215,1,2018-04-21
23,24,Jessica Wooten,Houston Baptist,DI,93.480203938869,1,2018-04-22
24,25,Aeriel Horton,Houston Baptist,DI,93.480203938869,1,2018-04-22
25,26,Rachel Nieto,Long Beach State,DI,92.62274269544945,2,2018-04-28
26,27,Lily Justine,UCLA,DI,91.58245006977353,2,2018-05-06
27,28,Sarah Sponcil,UCLA,DI,91.58245006977353,2,2018-05-06
28,29,Morgan Martin,Hawaii,DI,91.03828769433476,2,2018-05-06
29,30,Dani Barton,Utah,DI,90.78654561994342,1,2018-04-27
30,31,Adore Anae,Utah,DI,90.78654561994342,1,2018-04-27
31,32,Katie Horton,Florida State,DI,89.6035651304789,2,2018-05-05
32,33,Lea Monkhouse,Hawaii,DI,89.37911954268911,2,2018-05-06
33,34,Torrey Van Winden,Cal Poly SLO,DI,89.06935093806271,1,2018-04-28
34,35,Tia Miric,Cal Poly SLO,DI,89.06935093806271,1,2018-04-28
35,36,Sammy Slater,USC,DI,88.98167440415936,2,2018-05-05
36,37,Terese Cannon,USC,DI,88.91163238787952,2,2018-05-05
37,38,Alexia Inman,Cal,DI,88.32217609792954,1,2018-04-28
38,39,Hailey Luke,Florida State,DI,87.85422156496335,2,2018-05-05
39,40,Brook Bauer,Pepperdine,DI,87.642846319982,1,2018-05-05
40,41,Madalyn Roh,Pepperdine,DI,87.642846319982,1,2018-05-05
41,42,Olivia Macdonald,Arizona,DI,87.5914009682459,1,2018-04-27
42,43,Natalie Anselmo,Arizona,DI,87.5914009682459,1,2018-04-27
43,44,Shannon Williams,South Carolina,DI,87.38756869742092,1,2018-05-04
44,45,Ali Denney,South Carolina,DI,87.38756869742092,1,2018-05-04
45,46,Jordan Anderson,Washington,DI,86.25128902572303,1,2018-04-28
46,47,Kimmy Gardiner,Washington,DI,86.25128902572297,1,2018-04-28
47,48,Morgan Hughes,Saint Mary's,DI,85.8624894208736,1,2018-04-21
48,49,Payton Rund,Saint Mary's,DI,85.8624894208736,1,2018-04-21
49,50,Sammee Thomas,Stetson,DI,84.79690193450868,1,2018-04-21
50,51,Darby Dunn,Stetson,DI,84.79690193450868,1,2018-04-21
51,52,Cadie Bates,South Carolina,DI,84.34136896118976,2,2018-05-04
52,53,Nicole Lott,UNC Wilmington,DI,84.04836760002607,1,2018-04-21
53,54,Maddy Kline,UNC Wilmington,DI,84.04836760002607,1,2018-04-21
54,55,Savannah Slattery,LMU,DI,83.74163316544504,1,2018-04-21
55,56,Jessica Gaffney,Cal,DI,83.5678460027418,2,2018-04-28
56,57,Emily Sonny,Cal Poly SLO,DI,83.56511264228088,2,2018-04-28
57,58,McKayla Ferris,LMU,DI,83.29422141491516,1,2018-04-21
58,59,Molly Turner,Grand Canyon,DI,82.88157338354651,1,2018-04-19
59,60,Haleigh Nelson,LSU,DI,82.21913433831338,2,2018-05-04
60,61,Carly Kan,Hawaii,DI,82.12581895837283,3,2018-05-06
