,name,last_season_end_rating,new_season_start_rating
140,Desiree Sukhov,53.05867649794704,25.0
141,Melissa Powell,53.00141745864033,25.0
142,Erica Brok,52.933661375501266,25.0
143,Victoria Corcoran,52.91625274621025,25.0
144,Rachel Kuhn,52.88039335323254,25.0
145,Hailey Devlin,52.6151991317283,25.0
146,Francesca Goncalves,52.53748142991324,25.0
147,Olivia Powers,52.485245897627465,25.0
148,Molly Scheel,52.36785660814537,25.0
149,Brooke Kuhlman,51.93447319095723,25.0
150,Kwyn Johnson,51.889702364598826,25.0
151,Stephany Purdue,51.755272089998144,25.0
152,Emily Hansen,51.705279849877,25.0
153,Sydney Haynes,51.705279849877,25.0
154,Anna Chin,51.61565221785194,25.0
155,Julia Mannisto,51.58224832429052,25.0
156,Morgan Dees,51.497138120934,25.0
157,Roni Long,51.3544399445944,25.0
158,Avei Logoleo,51.32149285860604,25.0
159,Rachel Noble,51.21935270888522,25.0
160,Nicci Reinking,51.06947825071248,25.0
161,Skylar Wine,51.000818987883044,25.0
162,Bryce Bark,50.942448145288495,25.0
163,Madison Dueck,50.942448145288495,25.0
164,Jenna Belton,50.918657844497694,25.0
165,Emmy Allen,50.78501978035113,25.0
166,Katie Friesen,50.77691365713815,25.0
167,Ellyson Lundberg,50.722394357472616,25.0
168,Molly McBain,50.61013260110266,25.0
169,Zoi Konstantopoulou,50.55450425726152,25.0
170,Emma Doud,50.49376599557648,25.0
171,Leah Perri,50.48110546849689,25.0
172,Macie Tendrich,50.48110546849689,25.0
173,Katherine Puisis,50.44277589227714,25.0
174,Tawnee Luafalemana,50.37699092686528,25.0
175,Raeann Greisen,50.35175260465755,25.0
176,Aleksandra Djuric,50.03022312483769,25.0
177,Giovanna Borgiotti,50.00858414591281,25.0
178,Ashley Glickert,50.00858414591281,25.0
179,Jessica Stansfield,49.834691904869835,25.0
180,Kathryn Plummer,49.76547995995629,25.0
181,Katelyn Carballo,49.76400787844633,25.0
182,Maddie Ligon,49.763504488488664,25.0
183,Selina Marolf,49.761786522576266,25.0
184,Abigail Devido,49.76178652257622,25.0
185,Leah Hardeman,49.62153516356353,25.0
186,Halle Hunt,49.47831795338815,25.0
187,Sarah Garrow,49.4063067527363,25.0
188,Gracie Garanich,49.40538734294976,25.0
189,Kennedy Madison,49.345813916492475,25.0
190,Riana Brennan,49.34581391649243,25.0
191,JM Lewandowski,49.231465157281384,25.0
192,Izzy Carey,49.22712472930604,25.0
193,Megan Muret,49.22712472930604,25.0
194,Alex Holt,49.118757699834326,25.0
195,Katrin Gotterba,49.118757699834326,25.0
196,Maddie Irwin,49.07111914827993,25.0
197,Erin Martin,49.07111914827993,25.0
198,Mackenzie Morris,49.00374956063513,25.0
199,Jonny Baham,48.89153691641226,25.0
200,Olivia Hallaran,48.85908395287081,25.0
201,Anna Crabtree,48.8360035794495,25.0
202,Katie Krawczyk,48.73169009373704,25.0
203,Nandyala Gama,48.6922543138737,25.0
204,Jensyn Bledsoe,48.67930878305835,25.0
205,Megan Davenport,48.66202255937856,25.0
206,Kiley Lewis,48.548640993194844,25.0
207,Veronica Corcoran,48.515092744423946,25.0
208,Lauren Orlich,48.512615801773805,25.0
209,Jessica Martinez,48.38332548014688,25.0
210,Lyndi Scholl,48.325286374491945,25.0
211,Anabela Sataric,48.111010824768236,25.0
212,Cara Sander,48.04443283626818,25.0
213,Mac May,48.00154187654905,25.0
214,Caroline Schafer,47.91131128635553,25.0
215,Sarah Chase,47.6351346100189,25.0
216,Mary Hernandez,47.6351346100189,25.0
217,Maddie Micheletti,47.39313835823895,25.0
218,Rachel Young,47.35804202988684,25.0
219,Madison Green,47.35804202988684,25.0
220,Anete Brinke,47.172740685189225,25.0
221,Eastyn Baleto,47.090383834906056,25.0
222,Hannah Zalopany,47.04030029947864,25.0
223,Taija Thomas,46.977037545372816,25.0
224,Catherine Raquel,46.906859248293586,25.0
225,Madi Yeomans,46.90445962592237,25.0
226,Katie Pyles,46.814882280427106,25.0
227,Cammie Dorn,46.766893066595195,25.0
228,Taylor Jarzombek,46.606657559238684,25.0
229,Samantha Harris,46.49421023956801,25.0
230,Brooke Burling,46.34377405364882,25.0
231,Kayla Gallant,46.19606730887732,25.0
232,Veronica Nederend,46.16641139576039,25.0
233,Grace Campbell,46.01976963495246,25.0
234,Amber Gibson,45.8737244418167,25.0
235,Katie McCullough,45.854768480090975,25.0
236,Rebecca Brown,45.82808415034679,25.0
237,Catherine Griffith,45.82808415034679,25.0
238,Sophie Peel,45.744023338145425,25.0
239,Kacy Ogden,45.744023338145425,25.0
240,Grace Convey,45.59905300297831,25.0
241,Bella Baumann,45.582491745661905,25.0
242,Mia Merino,45.57871723083203,25.0
243,Sarah Davis,45.53575450073487,25.0
244,Eva Torruella,45.51300410727575,25.0
245,Maile Sellers,45.501233205235344,25.0
246,Annika Albrecht,45.40946977548031,25.0
247,Brynn Montgomery,45.390660534617815,25.0
248,Makenna Martin,45.30698783539613,25.0
249,Amie Held,45.12937123848242,25.0
250,Gabby Love,45.007692173954645,25.0
251,Brooke Sassin,44.85940974534673,25.0
252,Ashley Delgado,44.85911390346907,25.0
253,Lauren Twitty,44.81693472308995,25.0
254,Anna Dalla Vecchia,44.78648882117879,25.0
255,Julia Topor,44.78648882117879,25.0
256,Allison Beckman,44.720246824905594,25.0
257,Lauren Freed,44.720246824905594,25.0
258,Marisa Ramsey,44.349425094768456,25.0
259,Hannah Matt,44.349425094768456,25.0
260,Brindl Langley,44.310388125843446,25.0
261,Paige Dreeuws,44.28120376221174,25.0
262,Ashley Allmer,44.07190192024454,25.0
263,Nikki Lyons,44.0488498510109,25.0
264,Veronica Snelling,43.99392223964145,25.0
265,Taylor Fricano,43.99392223964145,25.0
266,Mackenzie Swan,43.97575394416285,25.0
267,Hannah Hubbard,43.83368278388205,25.0
268,Jordan Westendorf,43.777576707825354,25.0
269,Kristine Hjembo,43.75230000735769,25.0
270,Colene Hamilton,43.75230000735769,25.0
271,Lauren Durham,43.73744754584061,25.0
272,Andie Shelton,43.622145398506824,25.0
273,Lauren Stivrins,43.59556263417272,25.0
274,Kennedy Kurtz,43.57678829387991,25.0
275,Macy Gordon,43.44905454244074,25.0
276,Lindsey Calvin,43.39080289297714,25.0
277,Nickeisha Williams,43.366771828286375,25.0
278,Kristey Markle,43.36677182828635,25.0
279,Mikaela Nocetti,43.28952276773855,25.0
280,Chloe Crappell,43.262131490457975,25.0
281,Jessica Clark,43.227709288360806,25.0
282,Aly Brinkley,43.14074342044286,25.0
283,Savannah Siegrist,43.07558036479854,25.0
284,Payton Chang,43.010018757341896,25.0
285,Addison Hermstad,42.942484025406394,25.0
286,Rio Frohoff,42.89074823473686,25.0
287,Callie Workman,42.72746013683966,25.0
288,Emily Martinez,42.71694638386194,25.0
289,Tressa Buckland,42.529102429830594,25.0
290,Tani Stephens,42.45101501087046,25.0
291,Cali Thompson,42.45101501087045,25.0
292,Mariana Dal Pozzo,42.442124262157776,25.0
293,Kate Novack,42.419182902151576,25.0
294,Kelly Hunter,42.4006915318557,25.0
295,Hannah Rogers,42.291849193099836,25.0
296,Haley Howell,42.241028052520555,25.0
297,Carly Lowry,42.24102805252055,25.0
298,Katie Sarber,42.168187691386684,25.0
299,Cecily Gable,41.8948323351907,25.0
300,Ginny Gerig,41.894832335190685,25.0
301,Natalia Giron,41.787433446885,25.0
302,Estefanie Bethancourt,41.787433446885,25.0
303,Briannah Mariner,41.75586649300733,25.0
304,Jamie Walsh,41.46024128190755,25.0
305,Natalie Robinson,41.411787048048275,25.0
306,Stephanie Pollnow,41.364839019548995,25.0
307,Caitlin Keefe,41.35041528785994,25.0
308,Jensen Allen,41.2767957898994,25.0
309,Erica Ronda,41.24219396597399,25.0
310,Alexandra Poletto,41.08057185731473,25.0
311,Aleksandra Djordjevic,41.08056971058813,25.0
312,Raquel Rooney,41.014681465537144,25.0
313,Maddie Dilfer,40.91819414339149,25.0
314,Madison Besterfield,40.793031751723355,25.0
315,Nicole DeBolt,40.7626347374739,25.0
316,Madilyn McCarty,40.7626347374739,25.0
317,Maycie LaBass,40.662907987788,25.0
318,Ciara Reistad,40.62539420385068,25.0
319,Julia Golbeck,40.62539420385068,25.0
320,Maja Kaiser,40.5393218601094,25.0
321,Kelsey Knudsen,40.44987140598594,25.0
322,Lana Brown,40.31630803826544,25.0
323,Brittany Pase,40.30429754600083,25.0
324,Katie Will,40.17357755633164,25.0
325,Yasmin Tan,40.02977531920485,25.0
326,Logan Manusky,39.99474231946249,25.0
