,division,rank,name,rating,playerid,college,primary position,date
440,DI,441,Madi Wilkerson,29.0710557550342,188,Saint Mary's,5,2018-04-21
441,DI,442,Jacey Smith,29.020906863528694,1409,Abilene Christian,1,2018-04-22
442,DI,443,Kendall Bosse,29.020906863528694,1410,Abilene Christian,1,2018-04-22
443,DI,444,Mattison Degarmo,29.002199564687505,771,Cal State Bakersfield,3,2018-04-28
444,DI,445,Emily Lopes,29.00219956468747,436,Cal State Bakersfield,3,2018-04-28
445,DI,446,Marina Chavez,28.964620894780243,348,Mercer,5,2018-04-21
446,DI,447,Blessings Dunn,28.896651006222356,2002,New Orleans,4,2018-04-22
447,DI,448,Ashley Bauchert,28.881775772342184,1035,Georgia State,5,2018-03-31
448,DI,449,Katie Gavin,28.87147352278965,973,Pepperdine,5,2018-03-03
449,DI,450,Taylor Bradley,28.82666531889756,110,LSU,3,2018-03-24
450,DI,451,Kaylee McClure,28.777334724114322,957,UAB,4,2018-04-21
451,DI,452,Emily Hardesty,28.743573892547918,937,LSU,5,2018-03-24
452,DI,453,Eighmy Dobbins,28.67667820118767,1406,Abilene Christian,1,2018-04-22
453,DI,454,Nikki Esposito,28.63241101745653,20,Florida State,2,2018-04-15
454,DI,455,Kinga Windisch,28.60960695138216,2075,Coastal Carolina,3,2018-04-14
455,DI,456,Gabriella Becerra,28.433322044184766,966,Tulane,4,2018-04-21
456,DI,457,Chloe Luyties,28.413875064264726,1059,Hawaii,3,2018-03-20
457,DI,458,Sarah Kelly,28.374202199358123,450,UNC Wilmington,3,2018-04-21
458,DI,459,Cristina Finan,28.28848849885108,477,Jacksonville,4,2018-04-22
459,DI,460,Rachel Evans,28.284920074898444,498,UAB,5,2018-03-02
460,DI,461,Macey Hayden,28.18566333686839,1234,"Cal State University, Sacramento",4,2018-04-27
461,DI,462,Olivia Lee,28.158322630298365,1193,Cal Poly SLO,5,2018-03-10
462,DI,463,Sjea Anderson,28.158322630298365,1195,Cal Poly SLO,5,2018-03-10
463,DI,464,Brayden Gruenewald,28.045863760492676,280,Cal Poly SLO,4,2018-04-08
464,DI,465,Summer Avery,28.03317755756595,418,San Jose State University,5,2018-04-20
465,DI,466,Sara Boothe,28.017467666231596,2109,Coastal Carolina,5,2018-04-11
466,DI,467,Lauren Petersen,27.998419677501545,1267,Jacksonville,2,2018-04-22
467,DI,468,Kahlee York,27.99084265057241,931,LSU,5,2018-03-31
468,DI,469,Berkeley Oblad,27.981275147338636,91,Utah,4,2018-04-27
469,DI,470,Josie Cole,27.898855929976353,1444,Oregon,2,2018-04-26
470,DI,471,Nicole Decker,27.871897721254577,934,LSU,3,2018-03-03
471,DI,472,Katelyn Theiss,27.846050559016515,1157,Austin Peay State,4,2018-04-20
472,DI,473,Emma Kirst,27.80307782506457,1111,Long Beach State,5,2018-04-14
473,DI,474,Jaime Thomas,27.756068619164985,1925,UNC Wilmington,5,2018-04-21
474,DI,475,Thaliana Grajeda,27.718180475623377,422,San Jose State University,4,2018-04-07
475,DI,476,Allison Kantor,27.716842897103156,200,Santa Clara,4,2018-03-03
476,DI,477,Tessie Powers,27.682042917640054,1915,Santa Clara,3,2018-04-20
477,DI,478,Kenzie Koerber,27.62630140403284,1132,Utah,3,2018-04-27
478,DI,479,Jamie McQuarrie,27.602091465209142,925,UCLA,5,2018-03-17
479,DI,480,Brooke Moore,27.442967613575497,1152,Austin Peay State,2,2018-04-20
480,DI,481,Sarah Savoca,27.38352533711971,271,Portland,3,2018-04-20
481,DI,482,Nicolette Pinkney,27.304555606786995,225,Cal State Northridge,5,2018-04-27
482,DI,483,Lauren Conati,27.304555606786995,1230,Cal State Northridge,5,2018-04-27
483,DI,484,Sami Slaughter,27.265717707786763,1289,Nebraska,3,2018-03-23
484,DI,485,Laura Gauta,27.19532095887096,1133,Utah,5,2018-04-27
485,DI,486,Chanti Holroyd,27.156995267656,10,UCLA,5,2018-03-17
486,DI,487,Emma Calle,27.131937328404184,1306,Washington,5,2018-04-20
487,DI,488,Haley Turner,27.088646528208876,1156,Austin Peay State,3,2018-04-20
488,DI,489,Paige Swinney,27.07665394531844,915,"Cal State University, Sacramento",5,2018-04-27
489,DI,490,Nicole Grant,27.045453799374307,303,FAU,3,2018-03-30
490,DI,491,Taylor Meyer,26.923118248451136,1632,ULM,4,2018-04-14
491,DI,492,Anna Unnasch,26.909414528998145,163,Grand Canyon,2,2018-03-10
492,DI,493,Avery Davis,26.904561652990456,1001,South Carolina,5,2018-03-31
493,DI,494,Katelyn Mueller,26.82689212458789,1396,Abilene Christian,3,2018-04-22
494,DI,495,Charis Ludtke,26.779017075278944,519,Jacksonville State,1,2018-04-20
495,DI,496,Kekai Whitford,26.674806161760994,246,LMU,4,2018-04-07
496,DI,497,Breann Robinson,26.582888791354044,425,San Jose State University,3,2018-04-20
497,DI,498,Mackenzie Walker,26.508420523437646,817,FIU,5,2018-03-23
498,DI,499,Abby Waldburger,26.502994138190864,889,Cal,4,2018-04-14
499,DI,500,Brianna Sizemore,26.4345841265333,1057,USC,3,2018-04-10
500,DI,501,Olivia Lohmeier,26.41860234125379,1419,Morehead State,2,2018-04-20
501,DI,502,Danielle Wheeler,26.4070539562642,395,Houston Baptist,5,2018-04-22
502,DI,503,Brittany Pellitteri,26.405408314121257,298,FAU,5,2018-04-21
503,DI,504,Skyler Takeda,26.38523813537271,623,"Cal State University, Sacramento",4,2018-04-27
504,DI,505,Julia Hanson,26.379461718251868,1655,Missouri State,2,2018-04-14
505,DI,506,Hailey Hughes,26.36570546290142,517,Jacksonville State,3,2018-04-20
506,DI,507,Jazz Sweat,26.305905650663863,1292,Nebraska,3,2018-03-23
507,DI,508,Jamie Hirai,26.28239475864814,423,San Jose State University,3,2018-04-20
508,DI,509,Brittany Velez,26.267656891065087,1468,College of Charleston,5,2018-04-14
509,DI,510,Ashley McGinn,26.135337542604947,461,Georgia State,5,2018-04-21
510,DI,511,Shannon Richardson,26.11087345245885,61,Stanford,5,2018-04-27
511,DI,512,Nina Korfhage,26.080255964268552,1158,Austin Peay State,2,2018-04-20
512,DI,513,Blaire Register,26.064367488266285,1966,UNF,3,2018-03-04
