,last_season_end_rating,new_season_start_rating,first_name,last_name,name
104,49.44516862585708,25,Olivia,Hallaran,Olivia Hallaran
105,49.44516862585708,25,Olivia,Macdonald,Olivia Macdonald
106,49.1706686932711,25,Macie,Tendrich,Macie Tendrich
107,49.151241025154995,25,Katie,Zimmerman,Katie Zimmerman
108,48.806432618329175,25,Shannon,Williams,Shannon Williams
109,48.760542973185,25,Dani,Barton,Dani Barton
110,48.51393892404772,25,Katie,Friesen,Katie Friesen
111,48.36084598302992,25,Candace,Lacour,Candace Lacour
112,48.333166487680906,25,Anika,Wilson,Anika Wilson
113,48.333166487680884,25,Deahna,Kraft,Deahna Kraft
114,48.077952186805355,25,Kori,Simpson,Kori Simpson
115,47.88497159328467,25,Carly,Kan,Carly Kan
116,47.76539056909589,25,Cassie,Strickland,Cassie Strickland
117,47.64634906274652,25,Joy,Dennis,Joy Dennis
118,47.512137687078486,25,Olivia,Powers,Olivia Powers
119,47.40771756526759,25,Emily,Corrigan,Emily Corrigan
120,47.404617558088226,25,Megan,Nash,Megan Nash
121,47.36218635859245,25,Cristina,Finan,Cristina Finan
122,47.19637004302946,25,Giovanna,Borgiotti,Giovanna Borgiotti
123,47.19637004302946,25,Ashley,Glickert,Ashley Glickert
124,47.09136068032167,25,Ari,Homayun,Ari Homayun
125,46.65308894716215,25,Maddie,Ligon,Maddie Ligon
126,46.58235118911632,25,Riana,Brennan,Riana Brennan
127,46.366240525092024,25,Jessica,Stansfield,Jessica Stansfield
128,46.20500191460333,25,Jessie,Prichard,Jessie Prichard
129,46.20500191460333,25,Sara,Kovac,Sara Kovac
130,46.150404070583065,25,Abril,Bustamante,Abril Bustamante
131,45.984156413388206,25,Kimberly,Ferguson,Kimberly Ferguson
132,45.984156413388206,25,Carina,Hoff,Carina Hoff
133,45.94051960965748,25,Erika,Zembyla,Erika Zembyla
134,45.84774258490031,25,Lise,Rugland,Lise Rugland
135,45.8477425849003,25,Devanne,Sours,Devanne Sours
136,45.67870112870201,25,Kaylee,Anderson,Kaylee Anderson
137,45.665402281886784,25,Olivia,Rodberg,Olivia Rodberg
138,45.08093711388324,25,Tori,Hinojosa,Tori Hinojosa
139,45.08093711388323,25,Kayla,Armer,Kayla Armer
140,44.938988524858864,25,Jessica,Gaffney,Jessica Gaffney
141,44.74248718413876,25,Stephanie,Pollnow,Stephanie Pollnow
142,44.73154974715685,25,Avei,Logoleo,Avei Logoleo
143,44.350392395612,25,Cati,Leak,Cati Leak
144,44.274813045539055,25,Sophie,Peel,Sophie Peel
145,44.131650492604166,25,Allison,Meehan,Allison Meehan
146,44.131650492604166,25,Lyndi,Scholl,Lyndi Scholl
147,44.13057821319925,25,Cassie,House,Cassie House
148,44.13057821319925,25,Ashley,Kelsey,Ashley Kelsey
149,44.047319150831086,25,Helene,Thelle,Helene Thelle
150,43.94364366987259,25,Jordan,Anderson,Jordan Anderson
151,43.87857875818029,25,Jessica,Fourspring,Jessica Fourspring
152,43.86626709704633,25,Emma,Peel,Emma Peel
153,43.84537892161701,25,Kate,Elman,Kate Elman
154,43.801848223570495,25,Katie,Horton,Katie Horton
155,43.80025127437474,25,Jazmine,Barker,Jazmine Barker
156,43.681915393560786,25,Emily,Carroll,Emily Carroll
157,43.51208668017162,25,Heather,Weiss,Heather Weiss
158,43.50515706652004,25,Carol,Grasso,Carol Grasso
159,43.50515706652002,25,Sara,Little,Sara Little
160,43.2913168863933,25,Michaela,Keefe,Michaela Keefe
161,43.24851324695069,25,Maddi,Osburn,Maddi Osburn
162,43.24851324695069,25,Maddy,O'Donnell,Maddy O'Donnell
163,43.05922009476361,25,Morgan,Stanley,Morgan Stanley
164,42.96021633608411,25,Avery,Hoven,Avery Hoven
165,42.753625851891066,25,Lexie,Skalbeck,Lexie Skalbeck
166,42.649754329474625,25,Katie,Will,Katie Will
167,42.54420072243321,25,Gabrielle,Dischler,Gabrielle Dischler
168,42.47217944486283,25,Shayne,Mcpherson,Shayne Mcpherson
169,42.45753012226979,25,Tarin,Mergener,Tarin Mergener
170,42.43047468732074,25,Camille,Stepanof,Camille Stepanof
171,42.42692477469566,25,Raeann,Greisen,Raeann Greisen
172,42.34203185752498,25,Kari,Peterson,Kari Peterson
173,42.30099343245231,25,Kristine,Hjembo,Kristine Hjembo
174,42.30001799848559,25,Grace,Campbell,Grace Campbell
175,42.1468367996545,25,Mckala,Rhodes,Mckala Rhodes
176,42.146836799654494,25,Krissy,Mummey,Krissy Mummey
177,41.82274316179928,25,Maddie,Hills,Maddie Hills
178,41.77285532170961,25,Katie,Sato,Katie Sato
179,41.77285532170961,25,Julie,Haake,Julie Haake
