,Name,Year,Height,Hometown/HS,Team
91,Blake Sharp,Fr,5'11,"Orinda, Ca",Stanford
92,Caitlin Keefe,So,5'11,"Pacific Palisades, Ca",Stanford
93,Catherine Raquel,Sr,5'10,"Los Angeles, Ca",Stanford
94,Chelsea Red-Horse Mohl,So,5'10,"Huntington Beach, Ca",Stanford
95,Courtney Bowen,Jr,6'4,"Brooklyn, N.Y.",Stanford
96,Jennifer Disanto,Jr,5'5,"Portola Valley, Ca",Stanford
97,Kat Anderson,So,5'9,"Everett, Wa",Stanford
98,Kate Formico,Fr,5'9,"Saratoga, Ca",Stanford
99,Kathryn Plummer,So,6'6,"Aliso Viejo, Ca",Stanford
100,Morgan Hentz,So,5'9,"Lakeside Park, Ky",Stanford
101,Payton Chang,Jr,5'10,"Newport Beach, Ca",Stanford
102,Shannon Richardson,So,5'8,"Los Gatos, Ca",Stanford
103,Sunny Villapando,Fr,5'9,"Manhattan Beach, Ca",Stanford
104,Alexis  Patterson,Jr,6'0,"Glendale, Az",Long Beach State
105,Anete Brinke,Sr,6'2,"Riga, Latvia",Long Beach State
106,Ashley Anselmo,R-Fr,6'2,"Manhattan Beach, Ca",Long Beach State
107,Ashley Murray,Sr,6'2,"Torrance, Ca",Long Beach State
108,Brooke Earkman,So,5'7,"Santa Monica, Ca",Long Beach State
109,Claire Newlander,Fr,6'0,"Arroyo Grande, Ca",Long Beach State
110,Emma Kirst,Jr,6'4,"Las Vegas, Nv",Long Beach State
111,Fayth Rascon-Ryn,Fr,5'8,"Redondo Beach, Ca",Long Beach State
112,Gigi Alex,Jr,5'5,"Long Beach, Ca",Long Beach State
113,Gina Lipscomb,Fr,6'0,"Yorba Linda, Ca",Long Beach State
114,Hailey Harward,So,5'9,"Phoenix, Az",Long Beach State
115,Hannah Matt,Sr,5'10,"Bettendorf, Iowa",Long Beach State
116,Kjersti Norveel,So,6'2,"Tonsberg, Norway",Long Beach State
117,Kristyna Adamcikova,Fr,6'0,"Opava, Czech Republic",Long Beach State
118,Marisa Ramsey,Fr,5'7,"Laguna Niguel, Ca",Long Beach State
119,Mary Jo McBride,So,5'9,"Paradise Valley, Az",Long Beach State
120,Megan Kruidhof,Jr,6'0,"Lakewood, Ca",Long Beach State
121,Mina Andjelkovic,Fr,6'1,"Belgrade, Serbia",Long Beach State
122,Monika Simkova,Fr,6'1,"Malacky, Slovakia",Long Beach State
123,Nele Barber,Sr,6'0,"Berlin, Germany",Long Beach State
124,Nicci Reinking,Fr,5'10,"Fountain Valley, Ca",Long Beach State
125,Rachel Nieto,Sr,5'10,"Walnut Creek, Ca",Long Beach State
126,Radi Marinova,Fr,6'1,"Sofia, Bulgaria",Long Beach State
127,Ravena Bailey,Fr,5'6,"Escondido, Ca",Long Beach State
128,Sasha Karelov,Sr,5'9,"Raleigh,N.C",Long Beach State
129,Tegan Curren,Fr,5'10,"Paso Robles, Ca",Long Beach State
130,YiZhi Xue,So,6'4,"Nanjing, China",Long Beach State
131,Zoi Konstantopoulou,Jr,6'0,"Limassol, Cyprus",Long Beach State
132,Abby Waldburger,So,5'10,"La Jolla, Ca",Cal
133,Alexia Inman,Fr,6'1,"Manhattan Beach, Ca",Cal
134,Bridget Gustafson,So,,"Naperville, Ill",Cal
135,Bryce Bark,Sr,6'0,"Palos Verdes Estates, Ca",Cal
136,Camille  Stepanof,So,5'4,"San Diego, Ca",Cal
137,Caroline Schafer,Fr,6'0,"Orinda, Ca",Cal
138,Cassidy Drury-Pullen,Fr,5'7,"Santa Barbara, Ca",Cal
139,Grace Campbell,Jr,6'0,"Manhattan Beach, Ca",Cal
140,Iya Lindahl,So,5'8,"San Diego, Ca",Cal
141,Jacqueline Ribeiro,Fr,5'11,"Austin, Tx",Cal
142,Jayda Howard,So,6'0,"La Jolla, Ca",Cal
143,Jessica Gaffney,Sr,6'1,"Temecula, Ca",Cal
144,Karina Langli,Jr,5'10,"Encinitas, Ca",Cal
145,Mackenzie Feldman,Sr,5'6,"Honolulu, Hi",Cal
146,Maddie Micheletti,Fr,5'9,"Manhattan Beach, Ca",Cal
147,Madison Dueck,So,5'9,"Santa Cruz, Ca",Cal
148,Mia Merino,Jr,5'7,"Tustin, Ca",Cal
149,Mima Mirkovic,Fr,5'11,"Irvine, Ca",Cal
150,Olivia Rodberg,Jr,5'9,"Manhattan Beach, Ca",Cal
151,Teya Neff,Sr,6'0,"Novato, Ca",Cal
152,Adore Anae,Sr,6'1,"Laei, Hi",Utah
153,Alexa Van Komen,Fr,5'8,"El Dorado Hills, Ca",Utah
154,Bailey Choy,So,5'9,"Honolulu, Hi",Utah
155,Berkeley Oblad,Jr,6'4,"Henderson, Nv",Utah
156,Brianna Doehrmann,So,5'7,"Murrieta, Ca",Utah
157,Camryn  Machado,Fr,5'9,"Cardiff by the Sea, Ca",Utah
158,Carly Trueman,Sr,6'1,"Tucson, Az",Utah
