,rank,name,college,division,rating,primary position,date
0,1,Haley Hallgren,USC,DI,41.92405332341287,3,2018-05-05
1,2,Tina Graudina,USC,DI,41.87750530496945,1,2018-05-05
2,3,Victoria Paranagua,Florida State,DI,39.75715637520556,1,2018-05-05
3,4,Megan McNamara,UCLA,DI,38.5789695981543,1,2018-05-06
4,5,Nicole McNamara,UCLA,DI,38.57896959815427,1,2018-05-06
5,6,Taylor Nelson,Cal Poly SLO,DI,38.276501357390075,3,2018-04-28
6,7,Abril Bustamante,USC,DI,38.11661762075409,1,2018-05-05
7,8,Zana Muno,UCLA,DI,37.77417492411943,3,2018-05-06
8,9,Katie Horton,Florida State,DI,37.68046429257491,2,2018-05-05
9,10,Hailey Luke,Florida State,DI,37.67239494074606,2,2018-05-05
10,11,Sarah Sponcil,UCLA,DI,37.07554867132963,2,2018-05-06
11,12,Lily Justine,UCLA,DI,37.07554867132963,2,2018-05-06
12,13,Eva Torruella,Florida State,DI,36.81266015311576,5,2018-04-22
13,14,Sammy Slater,USC,DI,36.22375355538331,2,2018-05-05
14,15,Skylar Caputo,Pepperdine,DI,36.076833998853395,4,2018-05-05
15,16,Alexis Filippone,Pepperdine,DI,36.076833998853395,4,2018-05-05
16,17,Carly Kan,Hawaii,DI,36.05141363929921,3,2018-05-06
17,18,Amy Ozee,Hawaii,DI,35.87428871623438,4,2018-05-06
18,19,Ari Homayun,Hawaii,DI,35.87428871623438,4,2018-05-06
19,20,Laurel Weaver,Hawaii,DI,35.75367878857133,3,2018-05-06
20,21,Izzy Carey,UCLA,DI,35.71886889991033,5,2018-05-06
21,22,Megan Muret,UCLA,DI,35.71886889991033,5,2018-05-06
22,23,Molly McBain,Florida State,DI,35.71678581246075,4,2018-05-05
23,24,Francesca Goncalves,Florida State,DI,35.61435449562621,5,2018-05-05
24,25,Sunny Villapando,Stanford,DI,35.58663627681979,1,2018-04-27
25,26,Brooke Sassin,TCU,DI,35.54790859380205,5,2018-04-15
26,27,Sasha Karelov,Long Beach State,DI,35.53041975876284,1,2018-04-28
27,28,Madalyn Roh,Pepperdine,DI,35.226635425688286,1,2018-05-05
28,29,Brook Bauer,Pepperdine,DI,35.226635425688286,1,2018-05-05
29,30,Deahna Kraft,Pepperdine,DI,35.19814647857444,2,2018-05-05
30,31,Corinne Quiggle,Pepperdine,DI,35.19814647857444,2,2018-05-05
31,32,Ka'iwi Schucht,Hawaii,DI,35.08617223568436,1,2018-05-06
