,Name,Year,Height,Hometown/HS,Team,mu,sigma
63,Hannah Zalopany,Sr,5'9,"Spokane, Wa",Hawaii,44.336492455345024,1.9091145528466555
64,Hi'ilawe  Huddleston,Jr,5'9,"Oceanside, Ca",Hawaii,38.404046433020774,5.0884728472465515
65,Jenna Banz,Fr,5'8,"Cambridge, Canada",Hawaii,25.0,8.333333333333334
66,Ka'iwi Schucht,Sr,5'9,"Escondido, Ca",Hawaii,39.943663663856356,1.8833034028729432
67,Laurel Weaver,Sr,5'11,"Winnetka, Ca",Hawaii,44.44924334383629,1.858498583875018
68,Lea Monkhouse,Fr,6'0,"Mississauga, Canada",Hawaii,45.74618120777846,1.935993527955682
69,Morgan Martin,So,6'1,"Mission Viejo, Ca",Hawaii,45.74618120777846,1.935993527955682
70,Paige Dreeuws,Fr,5'7,"San Marcos, Ca",Hawaii,44.33649245534503,1.9091145528466555
71,Pani Napoleon,Fr,5'7,"Chula Vista, Ca",Hawaii,25.0,8.333333333333334
72,Presley Forbes,Fr,5'4,"Manhattan Beach, Ca",Hawaii,25.0,8.333333333333334
73,Regan Hurkett,So,6'2,"Sedona, Ca",Hawaii,25.0,8.333333333333334
74,Sydney Kidd,So,5'8,"San Diego, Ca",Hawaii,25.0,8.333333333333334
75,Addison Hermstad,Fr,5'11,"Seal Beach, Ca",Tulane,39.13136503452233,2.1988116511516824
76,Anna Chin,Jr,5'7,"Irvine, Ca",Tulane,38.11608976231732,2.4228399529455746
77,Ashley Delgado,Fr,5'7,"Novato, Ca",Tulane,39.13136503452233,2.1988116511516824
78,Briana Correa,Jr,5'10,"Fort Myers, Fl",Tulane,41.646736111618246,4.02201809758425
79,Carleigh Semeniuk,Fr,5'9,"Whitby, Canada",Tulane,25.0,8.333333333333334
80,Christina  Mcafee,Sr,5'8,"Kennedale, Tx",Tulane,41.646736111618246,4.02201809758425
81,Gabriella Becerra,Fr,5'8,"Southlake, Tx",Tulane,35.281399163551036,2.3261366938282633
82,Kaylie Mchugh,So,5'6,"Davie, Fl",Tulane,36.74005015175133,2.1988116511516824
83,Kendyl Brennan,Fr,5'7,"Laguna Beach, Ca",Tulane,13.816129527221747,2.865363454668774
84,Lan Nguyen,Sr,5'9,"Manhattan Beach, Ca",Tulane,38.04745092909335,2.1988116511516824
85,Lauren Orlich,Fr,6'0,"Scottsdale, Az",Tulane,38.11608976231732,2.4228399529455746
86,Madeline Mertz,Sr,6'0,"Peoria, Az",Tulane,36.74005015175133,2.1988116511516824
87,Morgan Esters,Fr,6'0,"Calabasas, Ca",Tulane,38.284666263315515,4.833821803303274
88,Rio Frohoff,Fr,5'9,"Redondo Beach, Ca",Tulane,35.281399163551036,2.3261366938282633
89,Tarin Mergener,So,5'9,"Midlothian, Tx",Tulane,38.04745092909335,2.1988116511516824
90,Amelia Smith,Fr,5'7,"San Jose, Ca",Stanford,41.39292708264424,2.1604329520970493
91,Blake Sharp,Fr,5'11,"Orinda, Ca",Stanford,43.37271236310508,2.1604329520970493
92,Caitlin Keefe,So,5'11,"Pacific Palisades, Ca",Stanford,29.548501409527233,3.0328362337631063
93,Catherine Raquel,Sr,5'10,"Los Angeles, Ca",Stanford,29.548501409527233,3.0328362337631063
94,Chelsea Red-Horse Mohl,So,5'10,"Huntington Beach, Ca",Stanford,25.0,8.333333333333334
95,Courtney Bowen,Jr,6'4,"Brooklyn, N.Y.",Stanford,41.6797605252906,2.1238521062633904
96,Jennifer Disanto,Jr,5'5,"Portola Valley, Ca",Stanford,25.0,8.333333333333334
97,Kat Anderson,So,5'9,"Everett, Wa",Stanford,36.5084866597224,2.2391216233559614
98,Kate Formico,Fr,5'9,"Saratoga, Ca",Stanford,29.548501409527233,3.0328362337631063
99,Kathryn Plummer,So,6'6,"Aliso Viejo, Ca",Stanford,30.47762309224048,3.0328362337631063
100,Morgan Hentz,So,5'9,"Lakeside Park, Ky",Stanford,41.39292708264424,2.1604329520970493
101,Payton Chang,Jr,5'10,"Newport Beach, Ca",Stanford,29.548501409527233,3.0328362337631063
102,Shannon Richardson,So,5'8,"Los Gatos, Ca",Stanford,43.372712363105066,2.1604329520970493
103,Sunny Villapando,Fr,5'9,"Manhattan Beach, Ca",Stanford,41.6797605252906,2.1238521062633904
104,Alexis  Patterson,Jr,6'0,"Glendale, Az",Long Beach State,43.434060911436,2.2815094948893346
105,Anete Brinke,Sr,6'2,"Riga, Latvia",Long Beach State,32.87468480377979,1.935993527955682
106,Ashley Anselmo,R-Fr,6'2,"Manhattan Beach, Ca",Long Beach State,25.0,8.333333333333334
107,Ashley Murray,Sr,6'2,"Torrance, Ca",Long Beach State,25.0,8.333333333333334
108,Brooke Earkman,So,5'7,"Santa Monica, Ca",Long Beach State,25.0,8.333333333333334
109,Claire Newlander,Fr,6'0,"Arroyo Grande, Ca",Long Beach State,49.227041149681426,1.9091145528466555
110,Emma Kirst,Jr,6'4,"Las Vegas, Nv",Long Beach State,36.055455915254086,6.394304831481489
111,Fayth Rascon-Ryn,Fr,5'8,"Redondo Beach, Ca",Long Beach State,25.0,8.333333333333334
112,Gigi Alex,Jr,5'5,"Long Beach, Ca",Long Beach State,25.0,8.333333333333334
113,Gina Lipscomb,Fr,6'0,"Yorba Linda, Ca",Long Beach State,25.0,8.333333333333334
114,Hailey Harward,So,5'9,"Phoenix, Az",Long Beach State,32.87468480377979,1.935993527955682
115,Hannah Matt,Sr,5'10,"Bettendorf, Iowa",Long Beach State,29.04046540184941,2.1238521062633904
116,Kjersti Norveel,So,6'2,"Tonsberg, Norway",Long Beach State,25.0,8.333333333333334
117,Kristyna Adamcikova,Fr,6'0,"Opava, Czech Republic",Long Beach State,44.01590155496976,2.1604329520970493
